Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP008_NPC_24H:L18	DB08756	Y-27632	-0.4151433266280336	-1.8975984374550958	<1e-05	<1e-05	NPC
CPC006_PL21_6H:BRD-K91623615-001-01-9:10	DB12254	ABT-751	0.3872751677308283	1.895915741929326	<1e-05	<1e-05	PL21
CPC006_THP1_6H:BRD-A70449690-001-01-4:10	DB02587	Colforsin	0.3609765007941672	1.8606277720163305	<1e-05	<1e-05	THP1
NMH001_NPC_24H:BRD-K95739795-001-02-9:10	DB12161	Deutetrabenazine	-0.38357612693777443	-1.851766522804552	<1e-05	<1e-05	NPC
LJP007_NEU_24H:O05	DB07101	PD-0325901	-0.3722174318658974	-1.8509717706046278	<1e-05	<1e-05	NEU
LJP007_NEU_24H:M01	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE	-0.4433544563783893	-1.8354610402807665	<1e-05	<1e-05	NEU
LJP007_JURKAT_24H:M11	DB05575	Motesanib	0.43691491597155563	1.8345068772788198	<1e-05	<1e-05	JURKAT
LJP007_NEU_24H:O03	DB07101	PD-0325901	-0.36171349586792473	-1.8108111924115102	<1e-05	<1e-05	NEU
CPC006_PL21_6H:BRD-A56592690-001-01-9:30	DB05448	PX-12	0.3929107743799428	1.807926436352	<1e-05	<1e-05	PL21
CPC015_NPC_24H:BRD-A01593789-001-02-3:10	DB15903	Chlormadinone acetate	0.38867563303469493	1.8015519525242485	<1e-05	<1e-05	NPC
DOSBIO002_NPC_24H:BRD-A13084692:10	DB08607	(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE	0.4306760539736989	1.7862555553671764	<1e-05	<1e-05	NPC
NMH002_NPC_6H:BRD-K67102207-236-03-6:10	DB06819	Phenylbutyric acid	-0.41641186124190954	-1.7730392978238259	<1e-05	<1e-05	NPC
CPC018_NPC_24H:BRD-A91699651-316-06-7:10	DB00608	Chloroquine	-0.4162156523505359	-1.8153199744874597	1.1481451714754813e-05	0.002047913616881944	NPC
CPC014_NEU_24H:BRD-K79404599-001-03-6:10	DB06486	Enzastaurin	-0.43398794110195704	-1.8773327862342366	1.1925062904706822e-05	0.002047913616881944	NEU
LJP009_NEU_24H:P20	DB09074	Olaparib	-0.40380745173589455	-1.869915896872047	1.2689872212986814e-05	0.002047913616881944	NEU
LJP007_NPC.TAK_24H:E19	DB12021	Dinaciclib	0.40238265607587886	1.8265647598608543	1.2799508498873643e-05	0.002047913616881944	NPC.TAK
AML001_HL60_24H:BRD-K19706299:0.37037	DB00374	Treprostinil	0.38516986230616257	1.9144771933559077	1.3224014810896588e-05	0.002047913616881944	HL60
CPC006_SKM1_6H:BRD-A56592690-001-01-9:30	DB05448	PX-12	0.40305669193984067	1.8391111327597642	1.3286741160995442e-05	0.002047913616881944	SKM1
LJP007_NEU_24H:P20	DB11886	Infigratinib	-0.3935741076740624	-1.827766952160516	1.3365231686291281e-05	0.002047913616881944	NEU
LJP009_NPC.CAS9_24H:G14	DB01254	Dasatinib	0.4136912036790453	1.8193965901343678	1.358178953658934e-05	0.002047913616881944	NPC.CAS9
LJP007_NEU_24H:I11	DB06589	Pazopanib	-0.36395427054725554	-1.8126177266945285	1.4509576320371446e-05	0.0020944550812779217	NEU
NMH002_NPC_6H:BRD-K01507359-001-11-2:10	DB01045	Rifampicin	0.4136027316673491	1.8896610329746133	1.4641288433382138e-05	0.0020944550812779217	NPC
LJP007_NPC_24H:A15	DB12742	Amuvatinib	0.4180825342313313	1.9182190468890188	1.756543123133673e-05	0.0024499385209906903	NPC
CPC006_SKM1_6H:BRD-A35588707-001-03-0:1.25	DB00444	Teniposide	0.3890987630324811	1.77509500702036	2.373915417393678e-05	0.003230261978936422	SKM1
NMH001_NPC_6H:BRD-A47564106-001-07-5:10	DB12161	Deutetrabenazine	-0.41647999333757346	-1.84057580635643	2.4599640845243658e-05	0.0032676522922765326	NPC
CPC015_NPC_24H:BRD-K92049597-001-10-9:10	DB00384	Triamterene	-0.38106321859723663	-1.7785331042563743	2.858776443682104e-05	0.0037090962277447573	NPC
LJP007_JURKAT_24H:N16	DB09330	Osimertinib	0.3885632284937269	1.7785432184811496	3.2785810301301594e-05	0.0041570917197945815	JURKAT
LJP007_JURKAT_24H:G12	DB11963	Dacomitinib	0.41148982596064915	1.900513001278413	3.594471702521522e-05	0.004456346139637238	JURKAT
LJP007_NEU_24H:P09	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	-0.35540421556304636	-1.7785044463638853	3.8799291266279534e-05	0.004604837431657906	NEU
NMH001_NEU_6H:BRD-K32501161-001-02-5:10	DB03701	Vanoxerine	-0.4206403597752455	-1.802715960056639	3.91823940442761e-05	0.004604837431657906	NEU
LJP007_NEU_24H:O01	DB07101	PD-0325901	-0.3761204730209494	-1.8419935951019024	3.9618604896859564e-05	0.004604837431657906	NEU
CPC018_NPC_24H:BRD-K61250553-003-16-5:10	DB00836	Loperamide	0.4054858115472834	1.8068653667626693	4.093663009661045e-05	0.004655568072766721	NPC
CPC015_NPC_24H:BRD-A95513702-001-03-0:10	DB07373	Boldione	-0.37773121854010533	-1.8090648511449834	4.17240372178412e-05	0.004655568072766721	NPC
CPC016_NPC_24H:BRD-A51410489-003-02-8:10	DB01392	Yohimbine	0.36760923783492677	1.8071001321404672	4.320774282751469e-05	0.004726588181072636	NPC
AML001_HL60_6H:BRD-K26684619:1.11111	DB08784	2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID	-0.39200634363440284	-1.755136413798345	4.9316960102579274e-05	0.005291140777159419	HL60
AML001_HL60_24H:BRD-K19706299:1.11111	DB00374	Treprostinil	0.3888250402489164	1.7422469692502578	5.080268238162975e-05	0.005314282312317675	HL60
CPC015_NPC_24H:BRD-K46937689-001-08-5:10	DB01435	Antipyrine	0.406185225971278	1.7537375160097282	5.182018396165306e-05	0.005314282312317675	NPC
AML001_HL60_6H:BRD-K19706299:0.37037	DB00374	Treprostinil	0.3899756486255695	1.7680911233227108	5.2390307793058285e-05	0.005314282312317675	HL60
NMH001_NEU_24H:BRD-K73251053-001-01-0:10	DB04017	Clorgiline	-0.38727406241584805	-1.7779112485968678	5.533957748232592e-05	0.00551320540667672	NEU
CPC014_NPC_24H:BRD-A55756846-001-16-2:10	DB07996	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	-0.3995248685387438	-1.776335336903295	5.72442612628084e-05	0.005602907606758036	NPC
AML001_HL60_6H:BRD-K43389675:0.37037	DB00694	Daunorubicin	0.38091197262627924	1.7414155183655455	6.363077184126244e-05	0.006120622001765571	HL60
CPC006_PL21_6H:BRD-K31342827-001-05-4:12.12	DB03777	Bisindolylmaleimide I	-0.3889203249421496	-1.7495002559079968	6.587702077761236e-05	0.006229286422344056	PL21
CPC015_NPC_24H:BRD-A87445400-003-03-6:10	DB01392	Yohimbine	-0.39228022132777945	-1.791067746963339	6.897622044800055e-05	0.006413638897989919	NPC
CPC014_NPC_24H:BRD-A60245366-001-01-1:10	DB08022	(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile	0.3781384312132132	1.7505336896020154	7.073236288531454e-05	0.006469112336674915	NPC
CPC006_SKM1_6H:BRD-A34817987-001-11-8:10	DB01167	Itraconazole	-0.39264448320122874	-1.7857719379012296	7.758794593671927e-05	0.0069816637158218835	SKM1
LJP007_NEU_24H:C04	DB11800	Tivozanib	0.3429071855918892	1.763717463873403	8.171102894613201e-05	0.007138180211861547	NEU
AML001_U937_24H:BRD-K43389675:3.33333	DB00694	Daunorubicin	0.4046608859721589	1.6533920520123233	8.199745807879956e-05	0.007138180211861547	U937
CPC018_NPC_24H:BRD-K40530731-001-02-5:10	DB00572	Atropine	0.39821223144679035	1.7272918545702463	8.440548394487116e-05	0.007138180211861547	NPC
CPC006_PL21_6H:BRD-K69932463-001-03-1:10	DB12774	AZD-8055	0.39594024249605064	1.7285219727279484	8.49246596947565e-05	0.007138180211861547	PL21
LJP009_NEU_24H:L07	DB05984	RAF-265	-0.36163991462951917	-1.7674536720275278	8.57246951415529e-05	0.007138180211861547	NEU
NMH002_NPC_6H:BRD-K02404261-001-12-6:10	DB00201	Caffeine	-0.3831032577081084	-1.7044260029440288	0.00010170755687147555	0.008321245725834418	NPC
NMH001_NEU_6H:BRD-A47564106-001-07-5:10	DB12161	Deutetrabenazine	-0.4168717515555482	-1.76993553916125	0.00010302197802197802	0.008321245725834418	NEU
AML001_HL60_6H:BRD-K19706299:10	DB00374	Treprostinil	0.38390640236700113	1.753466090450913	0.00010642600200080883	0.008321245725834418	HL60
CPC013_NPC_24H:BRD-K19416115-001-02-0:10	DB01261	Sitagliptin	0.3965393888144435	1.750532065859907	0.00010795638562020944	0.008321245725834418	NPC
CPC017_NPC_24H:BRD-K26521938-001-04-9:10	DB00917	Dinoprostone	-0.3495268120577634	-1.7199266484482014	0.00010957703265395574	0.008321245725834418	NPC
CPC018_NPC_24H:BRD-A03623303-045-05-3:10	DB00264	Metoprolol	-0.3853123490468686	-1.7092652786696767	0.00011342498071775328	0.008321245725834418	NPC
CPC018_NPC_24H:BRD-A84205515-001-02-5:10	DB13386	Epimestrol	0.3628673867831398	1.7358147272041509	0.00011603081778520374	0.008321245725834418	NPC
LJP009_NPC_24H:B16	DB11805	Saracatinib	0.39919022882499183	1.7485006270876369	0.00011693475040927163	0.008321245725834418	NPC
NMH002_NPC_6H:BRD-K40438880-001-03-8:10	DB03566	Spermidine	-0.3691220723265393	-1.7437863708228323	0.00011848341232227489	0.008321245725834418	NPC
LJP007_NEU_24H:M09	DB05575	Motesanib	-0.3536077182703502	-1.751410077339403	0.00011864507326333274	0.008321245725834418	NEU
NMH002_NPC_6H:BRD-A08027849-236-01-7:10	DB03619	Deoxycholic acid	-0.3736108874612296	-1.730861062533595	0.00011908384826071423	0.008321245725834418	NPC
LJP007_NPC_24H:I19	DB13005	Rebastinib	0.40388367816789084	1.685679114155551	0.00011913013342574943	0.008321245725834418	NPC
CPC006_U937_6H:BRD-A34817987-001-11-8:10	DB01167	Itraconazole	-0.3749188734350184	-1.7302511028287342	0.00012051096649795132	0.008321245725834418	U937
CPC006_U937_6H:BRD-A12409803-001-01-3:40	DB12066	Orteronel	-0.3657547754483019	-1.770663733557604	0.00012224440731836518	0.008321245725834418	U937
NMH002_NPC_24H:BRD-K18910433-001-24-2:10	DB00783	Estradiol	0.3494429017720807	1.7135190344931135	0.00012230545788105795	0.008321245725834418	NPC
CPC017_NPC_24H:BRD-K56699285-001-04-5:10	DB13520	Metergoline	0.3733758714171043	1.759408297685958	0.00012577825294006665	0.008454420158465445	NPC
LJP007_JURKAT_24H:M12	DB05575	Motesanib	0.36434596038649414	1.725240771084679	0.0001340782122905028	0.008905027932960894	JURKAT
LJP009_NPC_24H:E11	DB01782	Pyrazolanthrone	0.3834382718327562	1.7658999317312043	0.0001360312871960551	0.008928453544315193	NPC
NMH001_NEU_6H:BRD-K09416995-001-32-4:10	DB00227	Lovastatin	-0.365384312921877	-1.7207397979463719	0.00013820608501648602	0.008965718003569483	NEU
LJP007_NPC.CAS9_24H:P22	DB11886	Infigratinib	0.37849215767969646	1.694452772969501	0.00014328289775332416	0.009188221684664316	NPC.CAS9
LJP007_JURKAT_24H:B09	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	0.39093059155670296	1.6936681159376075	0.0001454891742828045	0.009223682992315525	JURKAT
LJP009_NEU_24H:M17	DB06314	SGX-523	-0.37293989454328735	-1.7204701869093448	0.00015594210295014107	0.009681806642523095	NEU
CPC018_NPC_24H:BRD-K88611939-001-01-8:10	DB04599	Aniracetam	0.37348843549450866	1.7407708561826587	0.00015708725324210636	0.009681806642523095	NPC
NMH002_NEU_6H:BRD-K98530306-003-13-4:10	DB00575	Clonidine	-0.367294159141637	-1.7247109636701132	0.0001591617481265336	0.009681806642523095	NEU
LJP009_NEU_24H:E19	DB08901	Ponatinib	0.39591999801622746	1.718463875835552	0.00015965696560532797	0.009681806642523095	NEU
LJP007_NPC.TAK_24H:D09	DB08875	Cabozantinib	-0.3821588756162961	-1.712658017611486	0.00016839876828329483	0.010102115357553784	NPC.TAK
LJP009_NPC.CAS9_24H:H10	DB08912	Dabrafenib	-0.3492769162511138	-1.6771950419656496	0.0001818512456810329	0.010793064889941304	NPC.CAS9
AML001_HL60_24H:BRD-K27316855:10	DB00136	Calcitriol	0.3912676418676444	1.7132750966968664	0.00018606670491371155	0.010927012070669439	HL60
CPC015_NPC_24H:BRD-K02404261-001-07-6:10	DB00201	Caffeine	0.3618908512175003	1.7124048140550534	0.00018807156122904766	0.01092970041767559	NPC
LPROT003_NPC_6H:D11	DB09073	Palbociclib	0.3717060883080136	1.673361968762236	0.00019826190397515117	0.011403125384302767	NPC
NMH001_NEU_6H:BRD-K81418486-001-22-8:10	DB02546	Vorinostat	-0.3798887350453698	-1.7242031301783554	0.00020132426628489622	0.01146110287350445	NEU
NMH002_NPC_24H:BRD-K52313696-001-09-9:10	DB12291	Tacedinaline	0.3617192176176899	1.7398963761531747	0.0002180719325846197	0.012174577195853792	NPC
NMH002_NPC_24H:BRD-K41170226-001-10-4:10	DB03619	Deoxycholic acid	-0.3612096270887983	-1.7033392740538953	0.0002182214948172395	0.012174577195853792	NPC
CPC014_NEU_24H:BRD-K99260425-001-01-2:10	DB00749	Etodolac	-0.3842231200856517	-1.7305485698984886	0.00022285674489866983	0.012310077027620584	NEU
CPC014_NPC_24H:BRD-K86930074-001-01-9:10	DB04849	Cediranib	0.37120143319378923	1.6993437100369553	0.0002301172319453855	0.012563303489013359	NPC
CPC006_THP1_6H:BRD-A75409952:10	DB08059	Wortmannin	0.3697759652984004	1.6816361710310999	0.00023321258104137192	0.012563303489013359	THP1
LJP007_NPC.TAK_24H:I19	DB13005	Rebastinib	0.3879129985870913	1.6890084689102196	0.00023585700326830418	0.012563303489013359	NPC.TAK
NMH002_NPC_24H:BRD-K79254416-001-11-9:10	DB01262	Decitabine	-0.38165855241681684	-1.7047846893229501	0.00023709101799396042	0.012563303489013359	NPC
NMH002_NPC_6H:BRD-A91699651-001-02-4:10	DB00608	Chloroquine	-0.3810002048816559	-1.6825395251271567	0.00023870051439960852	0.012563303489013359	NPC
CPC016_NPC_24H:BRD-K89923877-003-02-4:10	DB00747	Scopolamine	-0.3748136479171714	-1.7114893953038055	0.0002475602287977693	0.012861647059012203	NPC
DOSBIO001_NPC_24H:BRD-A19500257:10	DB02424	Geldanamycin	0.3891027124645493	1.6625516666901514	0.0002489797243902703	0.012861647059012203	NPC
CPC006_NOMO1_6H:BRD-A71390734-001-01-7:0.08	DB01177	Idarubicin	0.3660132067814528	1.7010308933984382	0.00026234536758622083	0.01327371238691154	NOMO1
LJP007_JURKAT_24H:K04	DB12064	BMS-777607	0.3851045139749309	1.704551264110306	0.00026237919624506217	0.01327371238691154	JURKAT
CPC015_NPC_24H:BRD-A36471396-003-02-2:10	DB00810	Biperiden	0.3815135581273403	1.6947733920268466	0.0002640942955632158	0.01327371238691154	NPC
CPC016_NEU_24H:BRD-K91370081-001-10-3:10	DB07374	Anisomycin	-0.3726434325085177	-1.6930930257073789	0.0002695033212321058	0.013361685530115372	NEU
CPC006_PL21_6H:BRD-K54233340-300-01-0:10	DB08597	Dorsomorphin	0.37675646001998725	1.6791166602841707	0.0002727024815925825	0.013361685530115372	PL21
NMH001_NPC_6H:BRD-K10852020-001-02-9:10	DB00323	Tolcapone	-0.38729359661172313	-1.6600595211355087	0.00027447191603355146	0.013361685530115372	NPC
LJP007_NPC.TAK_24H:K06	DB12064	BMS-777607	-0.3772378601608895	-1.6988151093772024	0.00027657648597002914	0.013361685530115372	NPC.TAK
CPC017_NPC_24H:BRD-K52459643-001-10-2:10	DB00770	Alprostadil	0.3733844206792311	1.6960576907193008	0.0002818454751547087	0.013361685530115372	NPC
LJP007_JURKAT_24H:P15	DB05294	Vandetanib	0.33327151285809603	1.6478008140378189	0.00028512076901144554	0.013361685530115372	JURKAT
CPC015_NPC_24H:BRD-K04218075-048-03-4:10	DB06735	Enclomiphene	-0.35313265059854687	-1.7430996689191294	0.0002865247414114209	0.013361685530115372	NPC
CPC015_NPC_24H:BRD-A04553218-050-08-9:10	DB13679	Dexchlorpheniramine	-0.3720581451932643	-1.702946721068261	0.0002868392917677123	0.013361685530115372	NPC
NMH002_NEU_24H:BRD-K11129031-001-22-6:10	DB01241	Gemfibrozil	-0.35725320528561355	-1.7092380463769858	0.0002873995812177531	0.013361685530115372	NEU
LJP008_NPC_24H:M04	DB02709	Resveratrol	-0.35943966174697506	-1.6796359325484078	0.00029835029835029837	0.013709940997368105	NPC
CPC006_SKM1_6H:BRD-K69932463-001-03-1:10	DB12774	AZD-8055	0.3883868874229412	1.6664390048315998	0.00029980512666766604	0.013709940997368105	SKM1
LJP007_NPC_24H:J21	DB03044	Doramapimod	0.3767462602919344	1.7185811078804787	0.00030253626233255456	0.013722356158970097	NPC
LJP007_NEU_24H:M10	DB05575	Motesanib	-0.360224475260817	-1.6853438929297875	0.0003083388529794669	0.013872761780422951	NEU
NMH001_NPC_6H:BRD-K95739795-001-02-9:10	DB12161	Deutetrabenazine	-0.3481271415531641	-1.6676276405769002	0.0003223910033945876	0.014388955263507234	NPC
CPC012_NPC_24H:BRD-K87909389-003-01-8:10	DB03496	Alvocidib	-0.3755933733048494	-1.6358586640271577	0.0003294962958239002	0.01458936376509158	NPC
LJP008_NPC_24H:L14	DB08756	Y-27632	-0.3468755407137753	-1.6704647527519543	0.0003373405299313052	0.014817558205933693	NPC
CPC015_NPC_24H:BRD-K54790157-001-10-6:10	DB04571	Trioxsalen	-0.3309936410439751	-1.66947553774028	0.0003414313854235062	0.014817558205933693	NPC
NMH002_NPC_6H:BRD-K71799949-001-29-9:10	DB00564	Carbamazepine	-0.3608682294303337	-1.6789733094360972	0.00034261785419706874	0.014817558205933693	NPC
NMH001_NEU_24H:BRD-K12807006-001-14-4:10	DB01852	Kaempherol	-0.3525415976436843	-1.7024218278315701	0.00034614053305642093	0.014819663670706185	NEU
CPC006_PL21_6H:BRD-K64634304-001-01-5:40	DB00162	Vitamin A	0.3782703526114963	1.6655440800157475	0.0003495939332006669	0.014819663670706185	PL21
KMS002_THP1_6H:BRD-A75409952-001-02-4:10	DB08059	Wortmannin	0.3617422345720879	1.6848765711438958	0.00035063552689249266	0.014819663670706185	THP1
CPC015_NPC_24H:BRD-K62200014-003-05-5:10	DB00261	Anagrelide	0.36035111242988543	1.682508463383061	0.0003537631555673477	0.014839433420377688	NPC
LJP007_NEU_24H:I12	DB06589	Pazopanib	-0.3728269536949134	-1.6523959350047241	0.0003720573644809236	0.015490358480888602	NEU
NMH002_NPC_6H:BRD-K39965020-001-05-9:10	DB03756	Doconexent	0.3778590224219037	1.6623856589605	0.00039067586925380907	0.016145042033829635	NPC
NMH002_NEU_24H:BRD-K37846922-001-08-6:10	DB11875	3,3'-diindolylmethane	-0.3715465753589673	-1.6684812464859298	0.0003990378753450015	0.01636935519521885	NEU
LJP008_NPC.TAK_24H:A19	DB11740	MK-1775	0.3760701462399867	1.6398657944684931	0.00041063907172104704	0.016501568455825528	NPC.TAK
DOSBIO002_NEU_24H:BRD-A75409952:0.37037	DB08059	Wortmannin	0.34340620489626816	1.67776086501294	0.00041186726890813985	0.016501568455825528	NEU
AML001_HL60_6H:BRD-K26684619:10	DB08784	2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID	-0.3788109293676737	-1.6313140701527478	0.00041580508855524587	0.016501568455825528	HL60
LJP007_JURKAT_24H:M23	DB12874	Quizartinib	0.3931095247605402	1.6872813592037834	0.0004170909135517745	0.016501568455825528	JURKAT
NMH002_NPC_6H:BRD-K98530306-003-13-4:10	DB00575	Clonidine	-0.37034683026884424	-1.6719219790460493	0.0004179657494012923	0.016501568455825528	NPC
NMH002_NPC_24H:BRD-K28912512-001-19-0:10	DB02701	Nicotinamide	-0.3612955559349004	-1.6637842373646312	0.0004201060483916751	0.016501568455825528	NPC
LJP008_NPC.TAK_24H:P17	DB11662	Rabusertib	-0.37862093721404616	-1.695637711184255	0.00042296545782094465	0.016501568455825528	NPC.TAK
LJP007_NPC.CAS9_24H:I19	DB13005	Rebastinib	0.3729429855959801	1.657817775139679	0.00043120394678435996	0.016653694058893897	NPC.CAS9
LJP009_NPC_24H:B04	DB01204	Mitoxantrone	0.38030745789018994	1.6354783747517396	0.0004349862812019006	0.016653694058893897	NPC
CPC006_WSUDLCL2_6H:BRD-K12502280-001-01-5:11.1	DB12500	Fedratinib	-0.3431155230960365	-1.6430837218639376	0.00043696744592527855	0.016653694058893897	WSUDLCL2
LJP007_NPC.TAK_24H:I23	DB13005	Rebastinib	0.36317681665587	1.667975704382282	0.00043880498775002744	0.016653694058893897	NPC.TAK
CPC016_NEU_24H:BRD-K89923877-003-02-4:10	DB00747	Scopolamine	-0.37671157982362635	-1.665610168693962	0.0004524769883131658	0.017056548093237513	NEU
NMH002_NPC_6H:BRD-K89732114-300-10-5:10	DB00831	Trifluoperazine	0.36720448946472095	1.6443026294076866	0.00046024494011203033	0.017232929670369244	NPC
LJP008_NEU_24H:M18	DB01262	Decitabine	-0.33790932182074	-1.6471976629381264	0.0004775549188156638	0.01765048023882147	NEU
CPC017_NPC_24H:BRD-K99107520-001-09-2:10	DB00949	Felbamate	0.37895504868073077	1.6324658368947753	0.000480178671133445	0.01765048023882147	NPC
LJP007_NPC.TAK_24H:P13	DB05294	Vandetanib	0.36142554367010404	1.6312090507729453	0.00048088779284833537	0.01765048023882147	NPC.TAK
CPC006_SKM1_6H:BRD-K88560311-011-02-2:10	DB12332	Rucaparib	-0.34032434279532536	-1.6389293632392337	0.0004907774733139749	0.017895735448488014	SKM1
CPC014_NEU_24H:BRD-K77175907-001-03-1:10	DB00146	Calcifediol	-0.374720278191257	-1.6438195485552873	0.0004974491271503106	0.017996193671171896	NEU
LJP007_JURKAT_24H:P02	DB09054	Idelalisib	0.35933232594838876	1.6354789700883257	0.0004999838714880165	0.017996193671171896	JURKAT
NMH002_NPC_24H:BRD-K81062487-001-03-3:10	DB04348	Taurocholic acid	-0.36379499617762995	-1.6827579796172636	0.0005166223232505876	0.018432811829602776	NPC
LJP009_NPC.CAS9_24H:D01	DB11775	PF-03758309	0.3684179364008659	1.6368553245823936	0.0005187222543910443	0.018432811829602776	NPC.CAS9
CPC017_NPC_24H:BRD-K45542189-048-15-5:10	DB00711	Diethylcarbamazine	0.3550065163466503	1.6631241111972381	0.0005293159609120521	0.018594887588232547	NPC
LJP008_NPC_24H:O02	DB07101	PD-0325901	-0.3737773393631593	-1.675904200234062	0.0005299492967429602	0.018594887588232547	NPC
LJP007_NEU_24H:C05	DB11800	Tivozanib	0.3532492867942112	1.661087349485254	0.0005414526040092676	0.018786463624888394	NEU
CPC017_NPC_24H:BRD-K28761384-003-03-6:10	DB13841	Clopenthixol	-0.35999692927658494	-1.652919886142083	0.0005447481973135312	0.018786463624888394	NPC
CPC015_NPC_24H:BRD-K79131256-001-08-8:10	DB00518	Albendazole	0.35726910445114407	1.6500731551342056	0.0005455112219451371	0.018786463624888394	NPC
NMH002_NPC_6H:BRD-K54771420-001-09-9:10	DB02691	Glycocholic acid	-0.3648153188575578	-1.6418199824982889	0.000556339030417513	0.01904181258097733	NPC
NMH002_NPC_6H:BRD-A09533288-003-26-2:10	DB14063	Dexverapamil	-0.3715261998874839	-1.6370949519394642	0.0005624669137109582	0.019134164095081924	NPC
LPROT003_NPC_6H:N19	DB02010	Staurosporine	0.3839091508565994	1.6049561050545171	0.0005781894105680175	0.01944481930209384	NPC
LJP008_NEU_24H:D02	DB09074	Olaparib	0.3491448196711092	1.6591244258536442	0.0005813754659553367	0.01944481930209384	NEU
AML001_HL60_24H:BRD-K26684619:1.11111	DB08784	2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID	-0.3347514618850855	-1.672162561971735	0.0005858779967659535	0.01944481930209384	HL60
AML001_U937_24H:BRD-K71879491:10	DB00982	Isotretinoin	0.36927649855315653	1.6671459823913093	0.0005879326817079444	0.01944481930209384	U937
AML001_U937_6H:BRD-K26684619:3.33333	DB08784	2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID	-0.3554105844651563	-1.639505777580973	0.0005890257146538554	0.01944481930209384	U937
LJP008_NPC_24H:K23	DB12332	Rucaparib	0.34515051673630537	1.646506354966674	0.0006042421969412843	0.019790768866434726	NPC
LJP007_NEU_24H:G14	DB01254	Dasatinib	0.3732085888504715	1.6588094531051818	0.0006078735622990418	0.019790768866434726	NEU
LJP008_NPC.CAS9_24H:G15	DB01254	Dasatinib	0.40275309419816907	1.565905952306247	0.0006101473821521371	0.019790768866434726	NPC.CAS9
