	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
29	DB00570	Vinblastine	For treatment of breast cancer, testicular cancer, lymphomas, neuroblastoma, Hodgkin's and non-Hodgkin's lymphomas, mycosis fungoides, histiocytosis, and Kaposi's sarcoma.	TUBD1, TUBE1, TUBB, JUN, TUBA1A, TUBG1	-2.580327512023808	-2.2115650061871133	<1e-05
30	DB00484	Brimonidine	"**Opthalmic**

Indicated for lowering intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension [label] as monotherapy or combination product with [brinzolamide].

**Topical**

Indicated for the treatment of persistent (non-transient) facial erythema of rosacea in adults 18 years of age or older.[L6535]"	ADRA2C, ADRA2B, ADRA2A	-2.497207094746503	1.546713444879649	<1e-05
31	DB06678	Esmirtazapine	Investigated for use/treatment in insomnia and sleep disorders.	HTR2A, HRH1, ADRA2A	-2.398423710366273	1.694187589626141	<1e-05
32	DB04842	Fluspirilene	Used for the treatment of schizophrenia.	HTR2A, CACNG1, DRD2	-2.398423710366273	1.6840074811711692	<1e-05
33	DB11886	Infigratinib	Infigratinib is indicated for the treatment of previously treated, unresectable locally advanced or metastatic cholangiocarcinoma in adults with a fibroblast growth factor receptor 2 (FGFR2) fusion or another rearrangement as detected by an FDA-approved test.[L34299]	FGFR1, FGFR3, FGFR4, FGFR2	-2.08556516170155	1.9079266527258207	<1e-05
34	DB04946	Iloperidone	Treatment of acute schizophrenia. 	HTR1A, HTR7, HTR2A, DRD3, HRH1, ADRA2C, ADRA1A, DRD2, HTR6, DRD4, DRD1	-2.057076238001349	1.622448717760949	<1e-05
35	DB00756	Hexachlorophene	For use as a surgical scrub and a bacteriostatic skin cleanser. It may also be used to control an outbreak of gram-positive infection where other infection control procedures have been unsuccessful.	ESR1, SDHD, GLUD1	-2.050247810850018	-1.84083476632088	<1e-05
36	DB02587	Colforsin		ADCY5, GNAS, ADCY2, CFTR	-2.015229324404368	1.723885128996444	<1e-05
37	DB00589	Lisuride	For the management of Parkinson's Disease	HTR2B, ADRA2A, HTR1A, DRD5, DRD3, HTR2A, HTR2C, ADRA2C, HTR7, HTR1B, HTR1D, ADRA2B, DRD2, DRD4, DRD1	-1.980382746551808	-1.6251768075133557	<1e-05
38	DB01100	Pimozide	Used for the suppression of motor and phonic tics in patients with Tourette's Disorder who have failed to respond satisfactorily to standard treatment.	DRD3, KCNH2, DRD2, CALM1	-1.9360580539889527	-1.8276588467653336	<1e-05
39	DB09286	Pipamperone	Treatment of chronic psychoses and states of aggressiveness of various origins [L1515].	HTR2B, ADRA2A, HTR2A, DRD3, ADRA1A, DRD2, DRD4, DRD1	-1.8920271667219168	-2.2262068800054555	<1e-05
40	DB00604	Cisapride	For the symptomatic treatment of adult patients with nocturnal heartburn due to gastroesophageal reflux disease.	HTR2A, HTR4, KCNH2, HTR3A	-1.8479962794548803	-2.034155487058218	<1e-05
41	DB00313	Valproic acid	"**Indicated** for:[Label] 

1) Use as monotherapy or adjunctive therapy in the management of complex partial seizures and simple or complex absence seizures. 

2) Adjunctive therapy in the management of multiple seizure types that include absence seizures. 

3) Prophylaxis of migraine headaches.

4) Acute management of mania associated with bipolar disorder.


**Off-label** uses include:
 
1) Maintenance therapy for bipolar disorder.[A177919]

2) Treatment for acute bipolar depression.[A177928,A177931,A177934]

3) Emergency treatment of status epilepticus.[A177955]"	HDAC9, HDAC2, SCN1A, OGDH, ALDH5A1, ACADSB, PPARA, PPARG, PPARD	-1.8398820010365424	-1.6003262542501324	<1e-05
42	DB01392	Yohimbine	Indicated as a sympatholytic and mydriatic. Impotence has been successfully treated with yohimbine in male patients with vascular or diabetic origins and psychogenic origins.	HTR2B, KCNJ1, ADRA2A, HTR1A, HTR2C, ADRA2C, DRD3, HTR2A, HTR1D, ADRA2B, DRD2, HTR1B	-1.8142285827776448	-2.0619989511959207	<1e-05
43	DB00091	Cyclosporine	"Cyclosporine is approved for a variety of conditions. Firstly, it is approved for the prophylaxis of organ rejection in allogeneic kidney, liver, and heart transplants. It is also used to prevent bone marrow transplant rejection. For the above indications, cyclosporine can be used in conjunction with azathioprine and corticosteroids. Finally, cyclosporine can be used in patients who have chronic transplant rejection and have received previous immunosuppressive therapy[L3002] and to prevent or treat graft-versus-host disease (GVHD).[L11097]

Secondly, cyclosporine is used for the treatment of patients with severe active rheumatoid arthritis (RA) when they no longer respond to methotrexate alone.[L3734] It can be used for the treatment of adult non-immunocompromised patients with severe, recalcitrant, plaque psoriasis that have failed to respond to at least one systemic therapy or when systemic therapies are not tolerated or contraindicated.[L3734] The ophthalmic solution of cyclosporine is indicated to increase tear production in patients suffering from keratoconjunctivitis sicca.[L11097] In addition, cyclosporine is approved for the treatment of steroid dependent and steroid-resistant nephrotic syndrome due to glomerular diseases which may include minimal change nephropathy, focal and segmental glomerulosclerosis or membranous glomerulonephritis.[L11097]

A cyclosporine ophthalmic emulsion is indicated in the treatment of vernal keratoconjunctivitis in adults and children.[L34694]

Off-label, cyclosporine is commonly used for the treatment of various autoimmune and inflammatory conditions such as atopic dermatitis, blistering disorders, ulcerative colitis, juvenile rheumatoid arthritis, uveitis, connective tissue diseases, as well as idiopathic thrombocytopenic purpura.[A139,A174085,A189393,A189396,A189399]"	CAMLG, PPIA, PPIF, PPP3R2	-1.800505868824323	-1.8357252474681869	<1e-05
44	DB00490	Buspirone	Indicated for the management of anxiety disorders or the short-term relief of the symptoms of anxiety.[L4478]	HTR1A, DRD3, ADRA1A, DRD2, DRD4	-1.588189240535303	-1.8716269976539928	<1e-05
45	DB00248	Cabergoline	For the treatment of hyperprolactinemic disorders, either idiopathic or due to prolactinoma (prolactin-secreting adenomas). May also be used to manage symptoms of Parkinsonian Syndrome as monotherapy during initial symptomatic management or as an adjunct to levodopa therapy during advanced stages of disease. 	ADRA2A, HTR2A, ADRA2C, ADRA1B, ADRA2B, DRD1, ADRB2, HTR1A, DRD3, ADRA1D, HTR2B, ADRB1, HTR1D, DRD2, DRD4, HTR2C, DRD5, ADRA1A, HTR1B, HTR7	-1.5344655565940315	-1.733865179745002	<1e-05
46	DB00988	Dopamine	For the correction of hemodynamic imbalances present in the shock syndrome due to myocardial infarction, trauma, endotoxic septicemia, open-heart surgery, renal failure, and chronic cardiac decompensation as in congestive failure	SLC18A2, SLC6A3, DBH, HTR1A, DRD5, DRD3, HTR7, SLC6A4, SLC6A2, HTR3B, SOD1, DRD2, HTR3A, DRD4, DRD1	-1.5209013293124245	-1.8867142816489677	<1e-05
47	DB03756	Doconexent	Used as a high-docosahexaenoic acid (DHA) oral supplement. 	RXRA, SREBF1, RXRG, PPARA, PPARG, RXRB	-1.4570469699532784	-1.9644619655567008	<1e-05
48	DB01239	Chlorprothixene	For treatment of psychotic disorders (e.g. schizophrenia) and of acute mania occuring as part of bipolar disorders.	CHRM3, CHRM4, DRD3, HTR2A, HRH1, HTR1A, DRD2, CHRM1, CHRM5, CHRM2, DRD1	-1.4296690267215857	-2.5287691464552804	<1e-05
49	DB02709	Resveratrol	Being investigated for the treatment of Herpes labialis infections (cold sores).	AHR, CSNK2A1, ALOX15, PPARG, MTNR1B, YARS1, SIRT1, NR1I2, CBR1, PPARA, AKT1, ESR1, ITGB3, ALOX5, KHSRP, SNCA, SLC2A1, MTNR1A, APP, PI4K2B, NQO2, PTGS2, NR1I3, PTGS1, ITGA5, CLEC14A	-1.3873628959990487	1.94392649654488	<1e-05
50	DB00575	Clonidine	"Clonidine tablets and transdermal systems are indicated for the treatment of hypertension alone or in combination with other medications.[L7237,L7240] A clonidine injection is indicated for use with opiates in the treatment of severe cancer pain where opiates alone are insufficient.[L7243] An extended release tablet of clonidine is indicated for the treatment of ADHD either alone or in combination with other medications.[L7246]

Clonidine is also used for the diagnosis of pheochromocytoma,[A180565] treatment of nicotine dependance,[A180568] and opiate withdrawal.[A180571]"	ADRA2A, ADRA2C, ADRA1A, ADRA1B, ADRA2B, ADRA1D	-1.346960540733603	2.127565226105551	<1e-05
51	DB00734	Risperidone	"Risperidone is indicated for the treatment of schizophrenia and irritability associated with autistic disorder.[L12885] It is also indicated as monotherapy, or adjunctly with lithium or valproic acid, for the treatment of acute mania or mixed episodes associated with bipolar I disorder.[L12885]

Risperidone is additionally indicated in Canada for the short-term symptomatic management of aggression or psychotic symptoms in patients with severe dementia of the Alzheimer type unresponsive to nonpharmacological approaches.[L12906]

Risperidone is also used off-label for a number of conditions including as an adjunct to antidepressants in treatment-resistant depression.[A177226]"	HTR2C, HTR1A, HTR2A, ADRA2C, HRH1, ADRA1A, ADRA1B, HTR1D, ADRA2B, DRD2, DRD1, HTR7	-1.3222646946385457	-1.7288745727734731	<1e-05
52	DB00420	Promazine	Used as an adjunct for short term treatment of moderate and severe psychomotor agitation. Also used to treat agitation or restlessness in the elderly.	HTR2C, HTR2A, HRH1, ADRA1A, DRD2, CHRM1	-1.2975688485434878	-2.428483728997868	<1e-05
53	DB13954	Estradiol cypionate	Depo-Estradiol intramuscular depot injection is indicated for the treatment of moderate to severe vasomotor symptoms and hypoestrogenism due to hypogonadism.	MT-ATP6, ESR2, HSD17B2, NR1I2, GPER1, CHRNA4, BECN1, ESR1, NCOA2, ESRRG	-1.290467015137569	1.965855596554664	<1e-05
54	DB13953	Estradiol benzoate	Estradiol benzoate is not currently available in any FDA or Health Canada approved products.	MT-ATP6, ESR2, HSD17B2, NR1I2, GPER1, CHRNA4, BECN1, ESR1, NCOA2, ESRRG	-1.290467015137569	1.831918092565496	<1e-05
55	DB13956	Estradiol valerate	"Estradiol valerate is commercially available as an intramuscular injection as the product Delestrogen and is indicated for the treatment of moderate to severe vasomotor symptoms and vulvovaginal atrophy due to menopause, for the treatment of hypoestrogenism due to hypogonadism, castration or primary ovarian failure, and for the treatment of advanced androgen-dependent carcinoma of the prostate (for palliation only). 

Estradiol valerate is also available in combination with [DB09123] as the commercially available product Natazia used for the prevention of pregnancy and for the treatment of heavy menstrual bleeding."	MT-ATP6, ESR2, HSD17B2, NR1I2, GPER1, CHRNA4, BECN1, ESR1, NCOA2, ESRRG	-1.290467015137569	-1.8180382916945304	<1e-05
56	DB01118	Amiodarone	"The FDA approved indications for amiodarone are recurrent ventricular fibrillation (VF)
and recurrent hemodynamically unstable ventricular tachycardia (VT). The FDA emphasizes that this drug should only be given in these conditions when they are clinically documented and have not responded to normal therapeutic doses of other antiarrhythmic agents, or when other drugs are not tolerated by the patient.[L3561]

Off-label indications include atrial fibrillation and supraventricular tachycardia.[A189666,A189720,A189723,L11286]"	ADRB1, CACNA1C, PPARGC1B, THRA, PPARA, KCNH2, PPARG, CACNA1I	-1.2769994009200534	-2.168771509707141	<1e-05
57	DB00246	Ziprasidone	In its oral form, ziprasidone is approved for the treatment of schizophrenia, as monotherapy for acute treatment of manic or mixed episodes related to bipolar I disorder, and as adjunctive therapy to lithium or valproate for maintenance treatment of bipolar I disorder.[L7342] The injectable formulation is approved only for treatment of acute agitation in schizophrenia.[L7342]	ADRA2A, HTR2A, ADRA2C, ADRA1B, ADRA2B, DRD1, CHRM5, HTR1A, CHRM3, DRD3, HRH1, HTR5A, HTR6, CHRM4, HTR1D, HTR1E, DRD2, HTR3A, DRD4, CHRM2, HTR2C, DRD5, ADRA1A, CHRM1, HTR1B, HTR7	-1.225753655854033	1.7548258135375654	<1e-05
58	DB06148	Mianserin	For the treatment of depression.	SLC6A3, ADRA2A, HTR2A, ADRA2C, HTR1F, ADRA2B, DRD1, HTR1A, DRD3, HRH1, HTR6, OPRK1, HTR2B, SLC6A2, DRD2, HRH4, SLC6A4, HTR2C, ADRA1A, HTR7	-1.2199132249250584	-1.5993580417376594	<1e-05
59	DB00477	Chlorpromazine	For the treatment of schizophrenia; to control nausea and vomiting; for relief of restlessness and apprehension before surgery; for acute intermittent porphyria; as an adjunct in the treatment of tetanus; to control the manifestations of the manic type of manic-depressive illness; for relief of intractable hiccups; for the treatment of severe behavioral problems in children (1 to 12 years of age) marked by combativeness and/or explosive hyperexcitable behavior (out of proportion to immediate provocations), and in the short-term treatment of hyperactive children who show excessive motor activity with accompanying conduct disorders consisting of some or all of the following symptoms: impulsivity, difficulty sustaining attention, aggressivity, mood lability, and poor frustration tolerance.	ADRA2A, HTR2A, ADRA1B, SMPD1, CALM1, HTR1A, CHRM3, DRD3, HRH1, CHRM1, HTR6, KCNH2, DRD2, HRH4, DRD4, HTR2C, DRD5, HTR7, ADRA1A, ORM1, DRD1	-1.1421212283106636	-1.7525378734836834	<1e-05
60	DB00836	Loperamide	For the control and symptomatic relief of acute nonspecific diarrhea and of chronic diarrhea associated with inflammatory bowel disease or gastroenteritis. Also used for reducing the volume of discharge from ileostomies.	POMC, CACNA1A, CALM1, NR1I3, OPRM1, OPRK1, OPRD1	-1.0975114394086616	-1.8650961535556716	<1e-05
61	DB00315	Zolmitriptan	Zolmitriptan is indicated for the acute treatment of migraine with or without auras in patients aged 18 and over.[L12978]	HTR2B, HTR1A, HTR2A, HTR1F, HTR1E, HTR1D, HTR1B, HTR7	-1.0223551330877916	-1.899056296815011	<1e-05
62	DB00247	Methysergide	For the treatment of vascular headache	HTR2B, HTR1A, HTR2C, HTR2A, HTR1F, HTR1E, HTR1B, HTR7	-1.0223551330877916	1.5556975652109828	<1e-05
63	DB00935	Oxymetazoline	"Oxymetazoline is indicated for the topical treatment of persistent facial erythema associated with rosacea in adults.[L15062]

Ophthalmic oxymetazoline is indicated for the treatment of acquired blepharoptosis in adults.[L15067]

When used in combination with tetracaine intranasally, oxymetazoline is indicated for regional anesthesia when performing a restorative procedure on Teeth 4-13 and A-J in adults and children who weigh 40 kg or more.[L15057]

Oxymetazoline can be found in over-the-counter nasal products as a nasal decongestant.[L15092]

For off-label uses, oxymetazoline has been used during nasal intubation and during ear, nose, and throat surgery to improve visualization of the airway and to minimize post-operative bleeding.[A215542]"	ADRA2A, HTR1A, ADRA2C, ADRA1A, ADRA1B, HTR1D, ADRA2B, ADRA1D, HTR1B	-0.9635450227293032	1.601845228865436	<1e-05
64	DB00675	Tamoxifen	Tamoxifen is indicated to treat estrogen receptor positive metastatic breast cancer in adults, as an adjuvant in the treatment of early stage estrogen receptor positive breast cancer in adults, to reduce the risk of invasive breast cancer after surgery and radiation in adult women with ductal carcinoma in situ.[L7802]	KCNH2, EBP, ESRRG, ESR2, NR1I2, SHBG, MAPK8, ESR1, AR, PRKCA	-0.962538565325894	-1.7871829253358515	<1e-05
65	DB06589	Pazopanib	Treatment of advanced renal cell cancer and advanced soft tissue sarcoma (in patients previously treated with chemotherapy) 	FGF1, PDGFRA, KIT, ITK, FLT1, PDGFRB, KDR, FLT4, FGFR3, SH2B3	-0.8468734955726611	1.737756835984718	<1e-05
66	DB01244	Bepridil	For the treatment of hypertension, and chronic stable angina (classic effort-associated angina).	PDE1A, PDE1B, CACNA1A, CALM1, CACNA1H, KCNQ1, TNNC1, CACNA2D2, KCNH2, ATP1A1	-0.827272203602274	-1.780260277957305	<1e-05
67	DB01645	Genistein	Currently Genistein is being studied in clinical trials as a treatment for prostate cancer.  	TOP2A, ESR2, PTK2B, CYP1B1, NR1I2, GPER1, SHBG, NCOA1, ESRRA, ESR1, ESRRB, AKT1, NCOA2	-0.8248460857671452	-1.3707046767783873	<1e-05
68	DB01175	Escitalopram	Escitalopram is indicated for both acute and maintenance treatment of major depressive disorder (MDD) and for the acute treatment of generalized anxiety disorder (GAD).[L8513] It is additionally indicated for symptomatic relief of obsessive-compulsive disorder (OCD) in Canada.[L8516]	SLC6A3, ADRA2A, SLC6A4, HTR1A, HTR2C, HTR2A, HRH1, ADRA1A, SLC6A2, DRD2, CHRM1	-0.7971802749876766	-1.7392898854337813	<1e-05
69	DB09167	Dosulepin	Indicated in the treatment of symptoms of depressive illness, especially where an anti-anxiety effect is required.	ADRA2A, SLC6A4, HTR1A, CHRM3, HTR2A, CHRM4, HRH1, ADRA1A, SLC6A2, CHRM1, CHRM2, CHRM5	-0.7471414176320955	-1.653111459890861	<1e-05
70	DB00715	Paroxetine	Paroxetine is indicated for the management of depression, obsessive-compulsive disorder, panic disorder, social anxiety disorder, generalized anxiety disorder, posttraumatic stress disorder.[L3358] One form of paroxetine, commercially known as Brisdelle, is used to manage mild to moderate vasomotor symptoms of menopause.[L7703] Off-label, paroxetine may be used for the treatment of premature ejaculation or irritable bowel syndrome (IBS).[A1093,A181754,A181904]	HTR2B, ADRA2A, SLC6A4, HTR1A, HTR2A, ADRB1, HRH1, SLC6A2, ADRA1A, DRD2, CHRM1, DRD1	-0.7471414176320955	-1.595104999791857	<1e-05
71	DB00934	Maprotiline	For treatment of depression, including the depressed phase of bipolar depression, psychotic depression, and involutional melancholia, and may also be helpful in treating certain patients suffering severe depressive neurosis.	ADRA2A, CHRM3, CHRM4, HTR2A, HTR2C, HRH1, HTR7, SLC6A2, ADRA1A, DRD2, CHRM1, CHRM2, CHRM5	-0.7048008460235268	-1.7188614690917694	<1e-05
72	DB08901	Ponatinib	Ponatinib is indicated for the treatment of adult patients with chronic phase, accelerated phase, or blast phase chronic myeloid leukemia (CML) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy or Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy.	SRC, TEK, LCK, FLT3, FGFR2, PDGFRA, KDR, FGFR4, KIT, ABL1, RET, FGFR1, LYN, FGFR3, BCR	-0.7004076333822622	-2.277257862917248	<1e-05
73	DB00132	alpha-Linolenic acid	For nutritional supplementation and for treating dietary shortage or imbalance.	FADS1, RXRA, ELOVL5, FADS2, PPARG, TRPV1, PPARA, ELOVL2, SLC8A1, NR1H4, PPARD	-0.6925665936832337	-1.6868534734648868	<1e-05
74	DB00794	Primidone	Primidone is commonly indicated for the management of grand mal, psychomotor, and focal epileptic seizures.[L4645,L11112] In addition, it has also been studied and utilized as an effective management of essential tremor.[A39414,A39415,L4645]	GABRA2, GABRA1, GABRA6, GABRA5, CHRNA4, GRIK2, GABRA4, CHRNA7, GABRA3, GRIA2	-0.6710832462031312	-1.810055690676412	<1e-05
75	DB00540	Nortriptyline	Nortriptyline is indicated for the relief of the symptoms of major depressive disorder (MDD).[L11878] Some off-label uses for this drug include treatment of chronic pain, myofascial pain, neuralgia, and irritable bowel syndrome.[A191083,L11878]	ADRA2A, SLC6A4, HTR1A, HTR2C, HTR2A, ADRB1, HRH1, SLC6A2, ADRA1A, ADRA1B, PGRMC1, ADRA1D, DRD2, CHRM1	-0.6685089275018966	-1.76524592291817	<1e-05
76	DB00726	Trimipramine	For the treatment of depression and depression accompanied by anxiety, agitation or sleep disturbance	SLC6A3, ADRA2A, SLC6A4, HTR1A, HTR2C, HTR2A, ADRB1, HRH1, SLC6A2, ADRA1A, ADRA1B, HTR1D, ADRA2B, DRD2, HTR3A, CHRM1, DRD1	-0.5852509967758036	-1.766764397869672	<1e-05
77	DB00363	Clozapine	For use in patients with treatment-resistant schizophrenia.	ADRA2A, CALY, HTR2A, ADRA2C, ADRA1B, ADRA2B, DRD1, CHRM5, HTR1A, CHRM3, DRD3, HRH1, HTR6, CHRM4, HTR1D, HTR1E, DRD2, HRH4, HTR3A, DRD4, CHRM2, HTR2C, GSTP1, ADRA1A, CHRM1, HTR1B, HTR7	-0.954639348353559	-1.6813508958760164	9.053287310998783e-05
78	DB00656	Trazodone	Trazodone is indicated for the treatment of major depressive disorder (MDD).[L3484] It has been used off-label for adjunct therapy in alcohol dependence, and off-label to treat anxiety and insomnia.[L3484] It may also be used off-label to treat symptoms of dementia, Alzheimer’s disease, schizophrenia, eating disorders, and fibromyalgia due to its effects on various neurotransmitter receptors.[A31634]	ADRA2A, SLC6A4, HTR1A, HTR2C, HTR2A, HRH1, ADRA1A	-1.14030386828309	-1.6577411080411837	0.00012946318440711397
