ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB06155	DB01244	Rimonabant	Bepridil	1.0666666666666664	A	C	False	False
DB00794	DB02266	Primidone	Flufenamic acid	1.0625	N	M	False	False
DB00794	DB01393	Primidone	Bezafibrate	1.0588235294117645	N	C	False	False
DB06155	DB04216	Rimonabant	Quercetin	1.045338441890166	A		False	False
DB06589	DB09232	Pazopanib	Cilnidipine	1.0333333333333334	L	C	False	False
DB01247	DB00132	Isocarboxazid	alpha-Linolenic acid	1.0314685314685317	N		False	False
DB00132	DB01184	alpha-Linolenic acid	Domperidone	1.0314685314685317		A	False	False
DB00132	DB00933	alpha-Linolenic acid	Mesoridazine	1.0314685314685317		N	False	False
DB00368	DB00949	Norepinephrine	Felbamate	1.029761904761905	C	N	False	False
DB02659	DB00806	Cholic Acid	Pentoxifylline	1.0297619047619047	A	C, R	True	False
DB06155	DB08901	Rimonabant	Ponatinib	1.0254901960784313	A	L	False	False
DB00988	DB00966	Dopamine	Telmisartan	1.0254901960784313	C	C	False	False
DB11830	DB00988	Mocetinostat	Dopamine	1.0222222222222221		C	False	False
DB07863	DB00988	2-chloro-5-nitro-N-phenylbenzamide	Dopamine	1.0222222222222221		C	False	False
DB01247	DB09213	Isocarboxazid	Dexibuprofen	1.0178571428571428	N	M	True	False
DB07863	DB00363	2-chloro-5-nitro-N-phenylbenzamide	Clozapine	1.0148148148148146		N	False	False
DB11830	DB00363	Mocetinostat	Clozapine	1.0148148148148146		N	True	False
DB00988	DB02266	Dopamine	Flufenamic acid	1.0142857142857142	C	M	False	False
DB00988	DB03756	Dopamine	Doconexent	1.0142857142857142	C		False	False
DB05223	DB00363	Pracinostat	Clozapine	1.0137395459976104		N	True	False
DB02546	DB00363	Vorinostat	Clozapine	1.0127314814814814	L	N	True	False
DB01118	DB01184	Amiodarone	Domperidone	1.0125000000000002	C	A	False	False
DB00988	DB01393	Dopamine	Bezafibrate	1.0121212121212122	C	C	False	False
DB00363	DB02266	Clozapine	Flufenamic acid	1.0117845117845117	N	M	False	False
DB00484	DB09213	Brimonidine	Dexibuprofen	1.0083333333333333	D, S	M	False	False
DB00484	DB04216	Brimonidine	Quercetin	1.0074074074074075	D, S		False	False
DB00132	DB00794	alpha-Linolenic acid	Primidone	1.002164502164502		N	False	False
DB02546	DB00246	Vorinostat	Ziprasidone	1.0	L	N	True	False
DB05223	DB01186	Pracinostat	Pergolide	1.0		N	False	False
DB05223	DB01403	Pracinostat	Methotrimeprazine	1.0		N	True	False
DB05223	DB09232	Pracinostat	Cilnidipine	1.0		C	False	False
DB00726	DB00541	Trimipramine	Vincristine	1.0	N	L	False	False
DB05223	DB04599	Pracinostat	Aniracetam	1.0		N	False	False
DB02546	DB00420	Vorinostat	Promazine	1.0	L	N	True	False
DB05223	DB00320	Pracinostat	Dihydroergotamine	1.0		N	False	False
DB05223	DB01200	Pracinostat	Bromocriptine	1.0		G, N	False	False
DB05223	DB00800	Pracinostat	Fenoldopam	1.0		C	False	False
DB05223	DB00875	Pracinostat	Flupentixol	1.0		N	True	False
DB05223	DB01184	Pracinostat	Domperidone	1.0		A	True	False
DB05223	DB00543	Pracinostat	Amoxapine	1.0		N	True	False
DB05223	DB00949	Pracinostat	Felbamate	1.0		N	True	False
DB05223	DB00933	Pracinostat	Mesoridazine	1.0		N	True	False
DB02546	DB06148	Vorinostat	Mianserin	1.0	L	N	False	False
DB05223	DB01224	Pracinostat	Quetiapine	1.0		N	True	False
DB05223	DB00408	Pracinostat	Loxapine	1.0		N	False	False
DB05223	DB01239	Pracinostat	Chlorprothixene	1.0		N	True	False
DB05223	DB00575	Pracinostat	Clonidine	1.0		C, N, S	False	False
DB05223	DB00734	Pracinostat	Risperidone	1.0		N	True	False
DB05223	DB00420	Pracinostat	Promazine	1.0		N	True	False
DB02546	DB01175	Vorinostat	Escitalopram	1.0	L	N	True	False
DB05223	DB00246	Pracinostat	Ziprasidone	1.0		N	True	False
DB05223	DB06148	Pracinostat	Mianserin	1.0		N	False	False
DB05223	DB00935	Pracinostat	Oxymetazoline	1.0		S, R	False	False
DB05223	DB01175	Pracinostat	Escitalopram	1.0		N	True	False
DB05223	DB09167	Pracinostat	Dosulepin	1.0		N	True	False
DB05223	DB00715	Pracinostat	Paroxetine	1.0		N	False	False
DB05223	DB00794	Pracinostat	Primidone	1.0		N	False	False
DB02546	DB00935	Vorinostat	Oxymetazoline	1.0	L	S, R	False	False
DB05223	DB00726	Pracinostat	Trimipramine	1.0		N	True	False
DB05223	DB00656	Pracinostat	Trazodone	1.0		N	True	False
DB05223	DB06153	Pracinostat	Pizotifen	1.0		N	False	False
DB02546	DB00575	Vorinostat	Clonidine	1.0	L	C, N, S	False	False
DB05223	DB00806	Pracinostat	Pentoxifylline	1.0		C, R	False	False
DB02546	DB00734	Vorinostat	Risperidone	1.0	L	N	True	False
DB00935	DB00949	Oxymetazoline	Felbamate	1.0	S, R	N	False	False
DB05223	DB09286	Pracinostat	Pipamperone	1.0		N	False	False
DB00935	DB09232	Oxymetazoline	Cilnidipine	1.0	S, R	C	False	False
DB01393	DB00800	Bezafibrate	Fenoldopam	1.0	C	C	False	False
DB06155	DB08399	Rimonabant	Piceatannol	1.0	A		False	False
DB00935	DB00541	Oxymetazoline	Vincristine	1.0	S, R	L	False	False
DB00935	DB01393	Oxymetazoline	Bezafibrate	1.0	S, R	C	False	False
DB01403	DB00615	Methotrimeprazine	Rifabutin	1.0	N	J	False	False
DB01403	DB02266	Methotrimeprazine	Flufenamic acid	1.0	N	M	False	False
DB00935	DB00794	Oxymetazoline	Primidone	1.0	S, R	N	False	False
DB06155	DB02546	Rimonabant	Vorinostat	1.0	A	L	False	False
DB06155	DB02424	Rimonabant	Geldanamycin	1.0	A		False	False
DB06155	DB07863	Rimonabant	2-chloro-5-nitro-N-phenylbenzamide	1.0	A		False	False
DB06155	DB00794	Rimonabant	Primidone	1.0	A	N	True	False
DB06155	DB11886	Rimonabant	Infigratinib	1.0	A		False	False
DB01393	DB01200	Bezafibrate	Bromocriptine	1.0	C	G, N	False	False
DB00726	DB01393	Trimipramine	Bezafibrate	1.0	N	C	False	False
DB00935	DB00615	Oxymetazoline	Rifabutin	1.0	S, R	J	False	False
DB00935	DB02266	Oxymetazoline	Flufenamic acid	1.0	S, R	M	False	False
DB01393	DB00875	Bezafibrate	Flupentixol	1.0	C	N	False	False
DB06155	DB00949	Rimonabant	Felbamate	1.0	A	N	True	False
DB02546	DB01239	Vorinostat	Chlorprothixene	1.0	L	N	True	False
DB02546	DB09286	Vorinostat	Pipamperone	1.0	L	N	False	False
DB02546	DB00589	Vorinostat	Lisuride	1.0	L	G, N	False	False
DB02546	DB04946	Vorinostat	Iloperidone	1.0	L	N	True	False
DB02546	DB11886	Vorinostat	Infigratinib	1.0	L		False	False
DB02546	DB00409	Vorinostat	Remoxipride	1.0	L	N	False	False
DB06155	DB00615	Rimonabant	Rifabutin	1.0	A	J	False	False
DB00949	DB00806	Felbamate	Pentoxifylline	1.0	N	C, R	False	False
DB06155	DB09232	Rimonabant	Cilnidipine	1.0	A	C	False	False
DB00949	DB06153	Felbamate	Pizotifen	1.0	N	N	False	False
DB00949	DB02266	Felbamate	Flufenamic acid	1.0	N	M	False	False
DB00949	DB00615	Felbamate	Rifabutin	1.0	N	J	False	False
DB06155	DB00966	Rimonabant	Telmisartan	1.0	A	C	False	False
DB00320	DB00541	Dihydroergotamine	Vincristine	1.0	N	L	False	False
DB00408	DB02266	Loxapine	Flufenamic acid	1.0	N	M	False	False
DB01393	DB04599	Bezafibrate	Aniracetam	1.0	C	N	False	False
DB02546	DB00794	Vorinostat	Primidone	1.0	L	N	False	False
DB05134	DB00875	Tanespimycin	Flupentixol	1.0		N	False	False
DB05223	DB00589	Pracinostat	Lisuride	1.0		G, N	False	False
DB02266	DB01224	Flufenamic acid	Quetiapine	1.0	M	N	False	False
DB11830	DB06155	Mocetinostat	Rimonabant	1.0		A	False	False
DB11830	DB00409	Mocetinostat	Remoxipride	1.0		N	False	False
DB11830	DB11886	Mocetinostat	Infigratinib	1.0			False	False
DB11830	DB04946	Mocetinostat	Iloperidone	1.0		N	True	False
DB11830	DB00589	Mocetinostat	Lisuride	1.0		G, N	False	False
DB11830	DB09286	Mocetinostat	Pipamperone	1.0		N	False	False
DB01393	DB00949	Bezafibrate	Felbamate	1.0	C	N	False	False
DB11830	DB00248	Mocetinostat	Cabergoline	1.0		G, N	False	False
DB11830	DB01239	Mocetinostat	Chlorprothixene	1.0		N	True	False
DB11830	DB00575	Mocetinostat	Clonidine	1.0		C, N, S	False	False
DB11830	DB00734	Mocetinostat	Risperidone	1.0		N	True	False
DB11830	DB00420	Mocetinostat	Promazine	1.0		N	True	False
DB11830	DB00246	Mocetinostat	Ziprasidone	1.0		N	True	False
DB11830	DB06148	Mocetinostat	Mianserin	1.0		N	False	False
DB11830	DB00935	Mocetinostat	Oxymetazoline	1.0		S, R	False	False
DB00541	DB00800	Vincristine	Fenoldopam	1.0	L	C	False	False
DB00541	DB00875	Vincristine	Flupentixol	1.0	L	N	False	False
DB11830	DB01175	Mocetinostat	Escitalopram	1.0		N	True	False
DB11830	DB09167	Mocetinostat	Dosulepin	1.0		N	True	False
DB11830	DB00715	Mocetinostat	Paroxetine	1.0		N	False	False
DB00541	DB01184	Vincristine	Domperidone	1.0	L	A	False	False
DB11830	DB00794	Mocetinostat	Primidone	1.0		N	False	False
DB11830	DB00726	Mocetinostat	Trimipramine	1.0		N	True	False
DB09167	DB01393	Dosulepin	Bezafibrate	1.0	N	C	False	False
DB02266	DB00806	Flufenamic acid	Pentoxifylline	1.0	M	C, R	False	False
DB05223	DB04946	Pracinostat	Iloperidone	1.0		N	True	False
DB00541	DB00933	Vincristine	Mesoridazine	1.0	L	N	False	False
DB01247	DB05223	Isocarboxazid	Pracinostat	1.0	N		False	False
DB01247	DB06155	Isocarboxazid	Rimonabant	1.0	N	A	True	False
DB01247	DB02546	Isocarboxazid	Vorinostat	1.0	N	L	False	False
DB01247	DB07863	Isocarboxazid	2-chloro-5-nitro-N-phenylbenzamide	1.0	N		False	False
DB01247	DB00570	Isocarboxazid	Vinblastine	1.0	N	L	False	False
DB01247	DB00484	Isocarboxazid	Brimonidine	1.0	N	D, S	False	False
DB01247	DB03756	Isocarboxazid	Doconexent	1.0	N		False	False
DB01247	DB00575	Isocarboxazid	Clonidine	1.0	N	C, N, S	True	False
DB00541	DB09232	Vincristine	Cilnidipine	1.0	L	C	False	False
DB09167	DB02266	Dosulepin	Flufenamic acid	1.0	N	M	False	False
DB09167	DB00615	Dosulepin	Rifabutin	1.0	N	J	False	False
DB01247	DB01393	Isocarboxazid	Bezafibrate	1.0	N	C	False	False
DB01247	DB08399	Isocarboxazid	Piceatannol	1.0	N		False	False
DB01247	DB00541	Isocarboxazid	Vincristine	1.0	N	L	False	False
DB01247	DB09232	Isocarboxazid	Cilnidipine	1.0	N	C	False	False
DB01247	DB00925	Isocarboxazid	Phenoxybenzamine	1.0	N	C	False	False
DB09167	DB00949	Dosulepin	Felbamate	1.0	N	N	False	False
DB01247	DB00966	Isocarboxazid	Telmisartan	1.0	N	C	False	False
DB00541	DB04599	Vincristine	Aniracetam	1.0	L	N	False	False
DB01247	DB00800	Isocarboxazid	Fenoldopam	1.0	N	C	False	False
DB01247	DB00949	Isocarboxazid	Felbamate	1.0	N	N	True	False
DB01247	DB00615	Isocarboxazid	Rifabutin	1.0	N	J	False	False
DB01247	DB00806	Isocarboxazid	Pentoxifylline	1.0	N	C, R	True	False
DB11830	DB00656	Mocetinostat	Trazodone	1.0		N	True	False
DB02266	DB06153	Flufenamic acid	Pizotifen	1.0	M	N	False	False
DB11830	DB00408	Mocetinostat	Loxapine	1.0		N	False	False
DB11830	DB00320	Mocetinostat	Dihydroergotamine	1.0		N	False	False
DB01393	DB00543	Bezafibrate	Amoxapine	1.0	C	N	False	False
DB05134	DB09286	Tanespimycin	Pipamperone	1.0		N	False	False
DB05134	DB01239	Tanespimycin	Chlorprothixene	1.0		N	False	False
DB05134	DB00575	Tanespimycin	Clonidine	1.0		C, N, S	False	False
DB05134	DB00420	Tanespimycin	Promazine	1.0		N	False	False
DB05134	DB00935	Tanespimycin	Oxymetazoline	1.0		S, R	False	False
DB05134	DB00794	Tanespimycin	Primidone	1.0		N	False	False
DB05134	DB00320	Tanespimycin	Dihydroergotamine	1.0		N	False	False
DB05134	DB01186	Tanespimycin	Pergolide	1.0		N	False	False
DB05134	DB01403	Tanespimycin	Methotrimeprazine	1.0		N	False	False
DB05134	DB09232	Tanespimycin	Cilnidipine	1.0		C	False	False
DB05134	DB04599	Tanespimycin	Aniracetam	1.0		N	False	False
DB05134	DB00933	Tanespimycin	Mesoridazine	1.0		N	False	False
DB05134	DB00800	Tanespimycin	Fenoldopam	1.0		C	False	False
DB02546	DB00715	Vorinostat	Paroxetine	1.0	L	N	False	False
DB05134	DB01184	Tanespimycin	Domperidone	1.0		A	False	False
DB05134	DB00949	Tanespimycin	Felbamate	1.0		N	False	False
DB05134	DB06153	Tanespimycin	Pizotifen	1.0		N	False	False
DB05134	DB00806	Tanespimycin	Pentoxifylline	1.0		C, R	False	False
DB00615	DB06153	Rifabutin	Pizotifen	1.0	J	N	False	False
DB05223	DB06155	Pracinostat	Rimonabant	1.0		A	False	False
DB05223	DB00409	Pracinostat	Remoxipride	1.0		N	False	False
DB05223	DB11886	Pracinostat	Infigratinib	1.0			False	False
DB05134	DB00484	Tanespimycin	Brimonidine	1.0		D, S	False	False
DB00541	DB00806	Vincristine	Pentoxifylline	1.0	L	C, R	False	False
DB05134	DB00409	Tanespimycin	Remoxipride	1.0		N	False	False
DB00541	DB00949	Vincristine	Felbamate	1.0	L	N	False	False
DB11830	DB01186	Mocetinostat	Pergolide	1.0		N	False	False
DB01175	DB02266	Escitalopram	Flufenamic acid	1.0	N	M	False	False
DB11830	DB08399	Mocetinostat	Piceatannol	1.0			False	False
DB11830	DB01403	Mocetinostat	Methotrimeprazine	1.0		N	True	False
DB01175	DB00615	Escitalopram	Rifabutin	1.0	N	J	False	False
DB11830	DB09232	Mocetinostat	Cilnidipine	1.0		C	False	False
DB11830	DB00925	Mocetinostat	Phenoxybenzamine	1.0		C	False	False
DB11830	DB04599	Mocetinostat	Aniracetam	1.0		N	False	False
DB11830	DB00933	Mocetinostat	Mesoridazine	1.0		N	True	False
DB11830	DB01200	Mocetinostat	Bromocriptine	1.0		G, N	False	False
DB11830	DB00800	Mocetinostat	Fenoldopam	1.0		C	False	False
DB01175	DB01393	Escitalopram	Bezafibrate	1.0	N	C	False	False
DB11830	DB00875	Mocetinostat	Flupentixol	1.0		N	True	False
DB11830	DB01184	Mocetinostat	Domperidone	1.0		A	True	False
DB11830	DB00543	Mocetinostat	Amoxapine	1.0		N	True	False
DB00615	DB00806	Rifabutin	Pentoxifylline	1.0	J	C, R	False	False
DB11830	DB00949	Mocetinostat	Felbamate	1.0		N	True	False
DB11830	DB06153	Mocetinostat	Pizotifen	1.0		N	False	False
DB11830	DB01224	Mocetinostat	Quetiapine	1.0		N	True	False
DB11830	DB00806	Mocetinostat	Pentoxifylline	1.0		C, R	False	False
DB01175	DB00541	Escitalopram	Vincristine	1.0	N	L	False	False
DB05134	DB06155	Tanespimycin	Rimonabant	1.0		A	False	False
DB02546	DB09167	Vorinostat	Dosulepin	1.0	L	N	True	False
DB02546	DB00800	Vorinostat	Fenoldopam	1.0	L	C	False	False
DB02546	DB00726	Vorinostat	Trimipramine	1.0	L	N	True	False
DB00484	DB00615	Brimonidine	Rifabutin	1.0	D, S	J	False	False
DB00656	DB00541	Trazodone	Vincristine	1.0	N	L	False	False
DB01184	DB00615	Domperidone	Rifabutin	1.0	A	J	False	False
DB00875	DB02266	Flupentixol	Flufenamic acid	1.0	N	M	False	False
DB00875	DB00615	Flupentixol	Rifabutin	1.0	N	J	False	False
DB01239	DB02266	Chlorprothixene	Flufenamic acid	1.0	N	M	False	False
DB01239	DB00615	Chlorprothixene	Rifabutin	1.0	N	J	False	False
DB01239	DB01393	Chlorprothixene	Bezafibrate	1.0	N	C	False	False
DB00800	DB02266	Fenoldopam	Flufenamic acid	1.0	C	M	False	False
DB03756	DB00806	Doconexent	Pentoxifylline	1.0		C, R	False	False
DB03756	DB01224	Doconexent	Quetiapine	1.0		N	False	False
DB00800	DB00615	Fenoldopam	Rifabutin	1.0	C	J	False	False
DB03756	DB06153	Doconexent	Pizotifen	1.0		N	False	False
DB03756	DB00949	Doconexent	Felbamate	1.0		N	False	False
DB03756	DB00543	Doconexent	Amoxapine	1.0		N	False	False
DB03756	DB01184	Doconexent	Domperidone	1.0		A	False	False
DB03756	DB00875	Doconexent	Flupentixol	1.0		N	False	False
DB03756	DB00800	Doconexent	Fenoldopam	1.0		C	False	False
DB03756	DB01200	Doconexent	Bromocriptine	1.0		G, N	False	False
DB03756	DB00933	Doconexent	Mesoridazine	1.0		N	False	False
DB03756	DB04599	Doconexent	Aniracetam	1.0		N	False	False
DB03756	DB01403	Doconexent	Methotrimeprazine	1.0		N	False	False
DB03756	DB08399	Doconexent	Piceatannol	1.0			False	False
DB03756	DB01186	Doconexent	Pergolide	1.0		N	False	False
DB00484	DB02266	Brimonidine	Flufenamic acid	1.0	D, S	M	False	False
DB00484	DB00949	Brimonidine	Felbamate	1.0	D, S	N	False	False
DB03756	DB00656	Doconexent	Trazodone	1.0		N	False	False
DB00656	DB01393	Trazodone	Bezafibrate	1.0	N	C	False	False
DB00570	DB01186	Vinblastine	Pergolide	1.0	L	N	False	False
DB00570	DB09232	Vinblastine	Cilnidipine	1.0	L	C	False	False
DB00570	DB04599	Vinblastine	Aniracetam	1.0	L	N	False	False
DB00570	DB00933	Vinblastine	Mesoridazine	1.0	L	N	False	False
DB00570	DB00800	Vinblastine	Fenoldopam	1.0	L	C	False	False
DB00734	DB01393	Risperidone	Bezafibrate	1.0	N	C	False	False
DB00570	DB00806	Vinblastine	Pentoxifylline	1.0	L	C, R	True	False
DB00484	DB11886	Brimonidine	Infigratinib	1.0	D, S		False	False
DB00484	DB03756	Brimonidine	Doconexent	1.0	D, S		False	False
DB00575	DB02266	Clonidine	Flufenamic acid	1.0	C, N, S	M	False	False
DB00575	DB00615	Clonidine	Rifabutin	1.0	C, N, S	J	False	False
DB00484	DB00794	Brimonidine	Primidone	1.0	D, S	N	False	False
DB00575	DB00949	Clonidine	Felbamate	1.0	C, N, S	N	True	False
DB00575	DB09232	Clonidine	Cilnidipine	1.0	C, N, S	C	False	False
DB00575	DB00541	Clonidine	Vincristine	1.0	C, N, S	L	False	False
DB00575	DB08399	Clonidine	Piceatannol	1.0	C, N, S		False	False
DB00484	DB01393	Brimonidine	Bezafibrate	1.0	D, S	C	False	False
DB00484	DB08399	Brimonidine	Piceatannol	1.0	D, S		False	False
DB00484	DB00541	Brimonidine	Vincristine	1.0	D, S	L	False	False
DB00575	DB01393	Clonidine	Bezafibrate	1.0	C, N, S	C	False	False
DB00484	DB09232	Brimonidine	Cilnidipine	1.0	D, S	C	False	False
DB00575	DB00794	Clonidine	Primidone	1.0	C, N, S	N	True	False
DB00484	DB00966	Brimonidine	Telmisartan	1.0	D, S	C	False	False
DB03756	DB00408	Doconexent	Loxapine	1.0		N	False	False
DB03756	DB00726	Doconexent	Trimipramine	1.0		N	False	False
DB02546	DB00656	Vorinostat	Trazodone	1.0	L	N	True	False
DB11886	DB00806	Infigratinib	Pentoxifylline	1.0		C, R	False	False
DB04946	DB03756	Iloperidone	Doconexent	1.0	N		False	False
DB00248	DB01393	Cabergoline	Bezafibrate	1.0	G, N	C	False	False
DB04599	DB00615	Aniracetam	Rifabutin	1.0	N	J	False	False
DB04946	DB01393	Iloperidone	Bezafibrate	1.0	N	C	False	False
DB04946	DB08399	Iloperidone	Piceatannol	1.0	N		False	False
DB00248	DB03756	Cabergoline	Doconexent	1.0	G, N		False	False
DB04946	DB02266	Iloperidone	Flufenamic acid	1.0	N	M	False	False
DB00933	DB00615	Mesoridazine	Rifabutin	1.0	N	J	False	False
DB00589	DB03756	Lisuride	Doconexent	1.0	G, N		False	False
DB01186	DB00541	Pergolide	Vincristine	1.0	N	L	False	False
DB00589	DB01393	Lisuride	Bezafibrate	1.0	G, N	C	False	False
DB01186	DB01393	Pergolide	Bezafibrate	1.0	N	C	False	False
DB00589	DB02266	Lisuride	Flufenamic acid	1.0	G, N	M	False	False
DB09286	DB02266	Pipamperone	Flufenamic acid	1.0	N	M	False	False
DB09286	DB00615	Pipamperone	Rifabutin	1.0	N	J	False	False
DB09286	DB00541	Pipamperone	Vincristine	1.0	N	L	False	False
DB09286	DB08399	Pipamperone	Piceatannol	1.0	N		False	False
DB09286	DB01393	Pipamperone	Bezafibrate	1.0	N	C	False	False
DB00320	DB00615	Dihydroergotamine	Rifabutin	1.0	N	J	False	False
DB01200	DB02266	Bromocriptine	Flufenamic acid	1.0	G, N	M	False	False
DB00966	DB01184	Telmisartan	Domperidone	1.0	C	A	False	False
DB00966	DB00949	Telmisartan	Felbamate	1.0	C	N	False	False
DB09286	DB03756	Pipamperone	Doconexent	1.0	N		False	False
DB00248	DB02266	Cabergoline	Flufenamic acid	1.0	G, N	M	False	False
DB11886	DB00949	Infigratinib	Felbamate	1.0		N	False	False
DB03756	DB00715	Doconexent	Paroxetine	1.0		N	False	False
DB11886	DB01184	Infigratinib	Domperidone	1.0		A	False	False
DB03756	DB09167	Doconexent	Dosulepin	1.0		N	False	False
DB03756	DB01175	Doconexent	Escitalopram	1.0		N	False	False
DB03756	DB00935	Doconexent	Oxymetazoline	1.0		S, R	False	False
DB03756	DB06148	Doconexent	Mianserin	1.0		N	False	False
DB03756	DB00246	Doconexent	Ziprasidone	1.0		N	False	False
DB03756	DB00420	Doconexent	Promazine	1.0		N	False	False
DB03756	DB00734	Doconexent	Risperidone	1.0		N	False	False
DB03756	DB00575	Doconexent	Clonidine	1.0		C, N, S	False	False
DB03756	DB01239	Doconexent	Chlorprothixene	1.0		N	False	False
DB00656	DB00949	Trazodone	Felbamate	1.0	N	N	True	False
DB11886	DB09286	Infigratinib	Pipamperone	1.0		N	False	False
DB11886	DB00575	Infigratinib	Clonidine	1.0		C, N, S	False	False
DB11886	DB00420	Infigratinib	Promazine	1.0		N	False	False
DB00656	DB00615	Trazodone	Rifabutin	1.0	N	J	False	False
DB00656	DB02266	Trazodone	Flufenamic acid	1.0	N	M	False	False
DB11886	DB01403	Infigratinib	Methotrimeprazine	1.0		N	False	False
DB11886	DB09232	Infigratinib	Cilnidipine	1.0		C	False	False
DB11886	DB00925	Infigratinib	Phenoxybenzamine	1.0		C	False	False
DB11886	DB04599	Infigratinib	Aniracetam	1.0		N	False	False
DB11886	DB00933	Infigratinib	Mesoridazine	1.0		N	False	False
DB11886	DB00966	Infigratinib	Telmisartan	1.0		C	False	False
DB11886	DB00800	Infigratinib	Fenoldopam	1.0		C	False	False
DB11886	DB00875	Infigratinib	Flupentixol	1.0		N	False	False
DB00570	DB00320	Vinblastine	Dihydroergotamine	1.0	L	N	False	False
DB00734	DB02266	Risperidone	Flufenamic acid	1.0	N	M	False	False
DB00570	DB00656	Vinblastine	Trazodone	1.0	L	N	False	False
DB02424	DB00409	Geldanamycin	Remoxipride	1.0		N	False	False
DB02424	DB09286	Geldanamycin	Pipamperone	1.0		N	False	False
DB02424	DB01239	Geldanamycin	Chlorprothixene	1.0		N	False	False
DB02424	DB00575	Geldanamycin	Clonidine	1.0		C, N, S	False	False
DB02424	DB00420	Geldanamycin	Promazine	1.0		N	False	False
DB02424	DB00935	Geldanamycin	Oxymetazoline	1.0		S, R	False	False
DB02424	DB00320	Geldanamycin	Dihydroergotamine	1.0		N	False	False
DB02424	DB01186	Geldanamycin	Pergolide	1.0		N	False	False
DB02424	DB01403	Geldanamycin	Methotrimeprazine	1.0		N	False	False
DB02424	DB09232	Geldanamycin	Cilnidipine	1.0		C	False	False
DB02424	DB04599	Geldanamycin	Aniracetam	1.0		N	False	False
DB02424	DB00933	Geldanamycin	Mesoridazine	1.0		N	False	False
DB01186	DB02266	Pergolide	Flufenamic acid	1.0	N	M	False	False
DB02424	DB00800	Geldanamycin	Fenoldopam	1.0		C	False	False
DB02424	DB00875	Geldanamycin	Flupentixol	1.0		N	False	False
DB02424	DB01184	Geldanamycin	Domperidone	1.0		A	False	False
DB02424	DB00949	Geldanamycin	Felbamate	1.0		N	False	False
DB02424	DB06153	Geldanamycin	Pizotifen	1.0		N	False	False
DB02424	DB00806	Geldanamycin	Pentoxifylline	1.0		C, R	False	False
DB00409	DB07863	Remoxipride	2-chloro-5-nitro-N-phenylbenzamide	1.0	N		False	False
DB00409	DB00570	Remoxipride	Vinblastine	1.0	N	L	False	False
DB00409	DB11886	Remoxipride	Infigratinib	1.0	N		False	False
DB00409	DB03756	Remoxipride	Doconexent	1.0	N		False	False
DB00408	DB01393	Loxapine	Bezafibrate	1.0	N	C	False	False
DB02424	DB00484	Geldanamycin	Brimonidine	1.0		D, S	False	False
