Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC014_SKB_24H:BRD-K52911425-001-02-3:10	DB11663	Pictilisib	-0.4062537234721606	-2.331754343549521	<1e-05	<1e-05	SKB
LJP008_NEU_24H:I07	DB11830	Mocetinostat	-0.407732743391172	-2.3208249200080933	<1e-05	<1e-05	NEU
NMH002_NEU_24H:BRD-K52313696-001-08-1:10	DB12291	Tacedinaline	-0.4046900491290838	-2.3118343113320945	<1e-05	<1e-05	NEU
CPC015_SKB_24H:BRD-K92093830-003-05-0:10	DB00997	Doxorubicin	-0.3530770180194262	-2.3061084236811857	<1e-05	<1e-05	SKB
CPC018_SKB_24H:BRD-A20589515-001-01-1:10	DB04228	Dihydroxyphenylglycine	-0.3735240032760749	-2.304849541430094	<1e-05	<1e-05	SKB
LJP007_NEU_24H:I19	DB13005	Rebastinib	-0.37837484397475885	-2.3018876196536433	<1e-05	<1e-05	NEU
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.3948245901813519	-2.277257862917248	<1e-05	<1e-05	NEU
LJP007_SKL.C_24H:P07	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	-0.3942890610040748	-2.2584359446103632	<1e-05	<1e-05	SKL.C
CPC014_SKB_24H:BRD-K05396879-001-05-9:10	DB08435	(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid	0.3920897173414782	2.258195284922652	<1e-05	<1e-05	SKB
CPC015_SKB_24H:BRD-A58048407-001-09-7:10	DB00393	Nimodipine	-0.3846890231855435	-2.2560639922929004	<1e-05	<1e-05	SKB
CPC013_NEU_24H:BRD-K51967704-001-01-0:10	DB12359	BIIB021	-0.4099265797820822	-2.2556680800182374	<1e-05	<1e-05	NEU
CPC018_SKB_24H:BRD-A00758722-001-03-1:10	DB09371	Norethynodrel	-0.3607042654850726	-2.2553283388744827	<1e-05	<1e-05	SKB
NMH002_NEU_6H:BRD-K52313696-001-09-9:10	DB12291	Tacedinaline	-0.4109952494081515	-2.2487538218161602	<1e-05	<1e-05	NEU
CPC015_SKB_24H:BRD-A09056319-001-05-5:10	DB00346	Alfuzosin	-0.42994088221450744	-2.247762849976782	<1e-05	<1e-05	SKB
CPC013_SKB_24H:BRD-K29733039-001-01-1:10	DB06233	Ridaforolimus	-0.4049382674716829	-2.247211015352935	<1e-05	<1e-05	SKB
CPC017_SKB_24H:BRD-K12184470-300-01-8:10	DB04841	Flunarizine	-0.35521356127309445	-2.2402126876509953	<1e-05	<1e-05	SKB
LJP007_SKL_24H:P16	DB05294	Vandetanib	-0.41791006595299773	-2.240138826034072	<1e-05	<1e-05	SKL
LJP009_SKL_24H:E10	DB01782	Pyrazolanthrone	-0.4063451616821408	-2.2290093734835787	<1e-05	<1e-05	SKL
CPC015_SKB_24H:BRD-K26801045-001-01-1:10	DB09286	Pipamperone	-0.40433707406200425	-2.2262068800054555	<1e-05	<1e-05	SKB
LJP008_SKL.C_24H:A21	DB11740	MK-1775	-0.37622918952590745	-2.2227752282843296	<1e-05	<1e-05	SKL.C
DOSBIO002_NEU_24H:BRD-A75409952:0.37037	DB08059	Wortmannin	-0.3667377091029062	-2.2212982973180346	<1e-05	<1e-05	NEU
LJP007_SKL_24H:J24	DB03044	Doramapimod	-0.410214120374502	-2.219685164318853	<1e-05	<1e-05	SKL
CPC015_SKB_24H:BRD-A55594068-065-03-1:10	DB00570	Vinblastine	-0.3653553424354221	-2.2115650061871133	<1e-05	<1e-05	SKB
CPC018_SKB_24H:BRD-K73109821-001-10-2:10	DB01119	Diazoxide	-0.39870714532147583	-2.2082224922732325	<1e-05	<1e-05	SKB
NMH002_NEU_6H:BRD-A79067928-001-04-3:10	DB00773	Etoposide	0.3872399019022956	2.2068081536082587	<1e-05	<1e-05	NEU
NMH002_NEU_6H:BRD-K00959089-001-02-2:10	DB04795	Thenoyltrifluoroacetone	0.39393469313061424	2.2052473923528604	<1e-05	<1e-05	NEU
CPC015_NPC_24H:BRD-K05977355-001-09-1:10	DB00196	Fluconazole	0.3755956928778373	2.1987913256512246	<1e-05	<1e-05	NPC
NMH002_NPC_6H:BRD-A75409952-001-06-5:10	DB08059	Wortmannin	-0.3718054680795837	-2.1975737069494374	<1e-05	<1e-05	NPC
CPC017_NPC_24H:BRD-K09549677-300-01-8:10	DB01388	Mibefradil	-0.367913231268171	-2.1911504190375957	<1e-05	<1e-05	NPC
CPC013_SKB_24H:BRD-K89839824-001-01-2:10	DB00293	Raltitrexed	0.37125420370226825	2.1894511808072346	<1e-05	<1e-05	SKB
LJP007_NEU_24H:L08	DB11836	Sapanisertib	-0.3661322614448513	-2.184572884722769	<1e-05	<1e-05	NEU
NMH002_NEU_24H:BRD-K06902185-001-13-6:10	DB00350	Minoxidil	-0.4442846688849781	-2.1747958317837868	<1e-05	<1e-05	NEU
NMH002_NEU_24H:BRD-K41170226-001-10-4:10	DB03619	Deoxycholic acid	-0.37668335627614086	-2.1723393028945	<1e-05	<1e-05	NEU
NMH002_NEU_24H:BRD-K17561142-003-25-9:10	DB01118	Amiodarone	-0.39119647006906194	-2.168771509707141	<1e-05	<1e-05	NEU
CPC012_NEU_24H:BRD-K72238567-001-12-4:10	DB04441	2-Fluoroadenosine	-0.3697516205472544	-2.1669139193057605	<1e-05	<1e-05	NEU
CPC016_SKB_24H:BRD-K72676686-103-01-8:10	DB00176	Fluvoxamine	-0.3738307514667151	-2.164308325377228	<1e-05	<1e-05	SKB
NMH001_NEU_24H:BRD-K10852020-001-02-9:10	DB00323	Tolcapone	0.37295078690045536	2.1600854037986466	<1e-05	<1e-05	NEU
LJP009_NEU_24H:B04	DB01204	Mitoxantrone	-0.36316430972293157	-2.1588012689971716	<1e-05	<1e-05	NEU
CPC015_NPC_24H:BRD-A73741725-001-01-0:10	DB00990	Exemestane	0.39534291622246054	2.1585211352969362	<1e-05	<1e-05	NPC
CPC014_NEU_24H:BRD-K38615104-001-06-8:10	DB08073	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	-0.36795688296808393	-2.1513555923380663	<1e-05	<1e-05	NEU
LJP009_SKL_24H:B24	DB16107	BI 2536	-0.368381318544298	-2.1450613717708733	<1e-05	<1e-05	SKL
NMH002_NEU_24H:BRD-K08316444-001-06-8:10	DB11457	Rotenone	-0.3852157273078783	-2.1446887143311106	<1e-05	<1e-05	NEU
LJP009_NPC.TAK_24H:E19	DB08901	Ponatinib	-0.3549917138744949	-2.1404785840076195	<1e-05	<1e-05	NPC.TAK
NMH002_NEU_6H:BRD-K95785537-001-19-9:10	DB03023	1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	-0.3785315387487852	-2.1388442027829213	<1e-05	<1e-05	NEU
CPC015_NPC_24H:BRD-K49111258-003-16-4:10	DB00457	Prazosin	0.4142453957375655	2.1368237217101944	<1e-05	<1e-05	NPC
CPC015_SKB_24H:BRD-K85603128-001-02-7:10	DB15480	Resorcinol monoacetate	-0.3526607269431588	-2.1334210338126423	<1e-05	<1e-05	SKB
CPC017_SKB_24H:BRD-K56515112-001-03-4:10	DB00253	Medrysone	-0.3665087352919448	-2.133412930432887	<1e-05	<1e-05	SKB
LJP009_NPC.CAS9_24H:K11	DB11962	GSK-1059615	-0.37844582896518564	-2.132050491243939	<1e-05	<1e-05	NPC.CAS9
CPC013_SKB_24H:BRD-K15600710-066-01-7:10	DB12191	Obatoclax	-0.4149096410957124	-2.1318163206252825	<1e-05	<1e-05	SKB
NMH002_NEU_6H:BRD-K98530306-003-13-4:10	DB00575	Clonidine	0.3590722798889249	2.127565226105551	<1e-05	<1e-05	NEU
LJP007_SKL_24H:K22	DB01590	Everolimus	-0.35785296122315224	-2.125356728325809	<1e-05	<1e-05	SKL
LJP009_NEU_24H:B19	DB16107	BI 2536	-0.3930747344301395	-2.123075929610684	<1e-05	<1e-05	NEU
CPC018_SKB_24H:BRD-A34255068-001-16-2:10	DB04149	(R)-Rolipram	-0.344301391688222	-2.1187250022742568	<1e-05	<1e-05	SKB
CPC016_NEU_24H:BRD-K63504947-001-05-5:10	DB06436	Semaxanib	-0.35779599951233887	-2.117902954861626	<1e-05	<1e-05	NEU
NMH002_NPC_6H:BRD-K27316855-001-10-9:10	DB00136	Calcitriol	-0.4231600425327401	-2.1142021661802572	<1e-05	<1e-05	NPC
CPC014_SKB_24H:BRD-K76723084-001-15-8:10	DB00982	Isotretinoin	-0.35191700972543916	-2.1117546955194584	<1e-05	<1e-05	SKB
CPC013_SKB_24H:BRD-K87909389-001-01-2:10	DB03496	Alvocidib	-0.3392213829545506	-2.111146191881766	<1e-05	<1e-05	SKB
CPC018_SKB_24H:BRD-A71459254-001-02-8:10	DB13240	Cymarin	-0.37340854939950463	-2.1103395553707878	<1e-05	<1e-05	SKB
NMH001_NEU_24H:BRD-A19500257-001-03-9:10	DB02424	Geldanamycin	-0.37199335727612853	-2.1097947232659773	<1e-05	<1e-05	NEU
CPC013_SKB_24H:BRD-K51967704-001-01-0:10	DB12359	BIIB021	-0.3506450737613721	-2.106705901078431	<1e-05	<1e-05	SKB
LJP008_SKL_24H:G20	DB00928	Azacitidine	-0.37699027069806845	-2.106598070172529	<1e-05	<1e-05	SKL
LJP007_NPC.CAS9_24H:A18	DB12742	Amuvatinib	-0.39972305180187956	-2.1047600060953644	<1e-05	<1e-05	NPC.CAS9
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.37786274745210424	-2.1002166973470238	<1e-05	<1e-05	NEU
CPC015_NPC_24H:BRD-A69917777-065-01-4:10	DB15597	Aminopentamide	0.4081028431554614	2.096493710777195	<1e-05	<1e-05	NPC
NMH002_NEU_6H:BRD-K24656285-001-04-4:10	DB02509	Farnesol	-0.38151458460805054	-2.0953887751850515	<1e-05	<1e-05	NEU
CPC016_SKB_24H:BRD-A18579359-001-02-3:10	DB01731	(S)-wiskostatin	-0.3469788414471051	-2.094886160420935	<1e-05	<1e-05	SKB
NMH001_NPC_24H:BRD-K13296708-001-01-7:10	DB06155	Rimonabant	-0.366104420452026	-2.090325523577949	<1e-05	<1e-05	NPC
NMH002_NPC_6H:BRD-K81839095-001-19-4:10	DB00655	Estrone	-0.3330003953694169	-2.0883335308883035	<1e-05	<1e-05	NPC
LJP007_SKL_24H:F13	DB12247	AZD-4547	-0.33960789965821053	-2.0811422615544974	<1e-05	<1e-05	SKL
NMH002_NEU_24H:BRD-A48430263-001-05-1:10	DB01132	Pioglitazone	-0.4173269538054748	-2.0770856095147607	<1e-05	<1e-05	NEU
NMH002_NPC_24H:BRD-K05396879-001-06-7:10	DB08435	(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid	0.41154624630684183	2.076957919174817	<1e-05	<1e-05	NPC
CPC012_SKB_24H:BRD-A61858259-001-01-0:10	DB11721	Mitoglitazone	-0.3468370822572887	-2.0742764306963473	<1e-05	<1e-05	SKB
LJP007_NPC.TAK_24H:A13	DB12742	Amuvatinib	-0.35417288886770326	-2.0724398374575403	<1e-05	<1e-05	NPC.TAK
CPC015_SKB_24H:BRD-K01815685-001-07-2:10	DB12881	Indole-3-carbinol	-0.3577643237389407	-2.0710934932957996	<1e-05	<1e-05	SKB
CPC016_NEU_24H:BRD-K91290917-336-03-8:10	DB00613	Amodiaquine	-0.3743890269416475	-2.070036727825662	<1e-05	<1e-05	NEU
LJP007_NEU_24H:P06	DB09054	Idelalisib	0.3520718317976204	2.069441581067393	<1e-05	<1e-05	NEU
CPC016_NEU_24H:BRD-A00993607-003-15-4:10	DB00866	Alprenolol	-0.3665150196387102	-2.064098776131768	<1e-05	<1e-05	NEU
NMH002_NPC_24H:BRD-K95785537-001-19-9:10	DB03023	1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	-0.3949863908626388	-2.0632727294053193	<1e-05	<1e-05	NPC
CPC016_NPC_24H:BRD-A51410489-003-02-8:10	DB01392	Yohimbine	-0.3450489376023589	-2.0619989511959207	<1e-05	<1e-05	NPC
CPC018_NPC_24H:BRD-K01095011-001-03-5:10	DB01216	Finasteride	0.35371448729576016	2.0618247969937165	<1e-05	<1e-05	NPC
CPC015_NPC_24H:BRD-K75699339-057-03-2:10	DB00953	Rizatriptan	0.4050369502395646	2.0606156934588093	<1e-05	<1e-05	NPC
LJP007_NEU_24H:E21	DB12021	Dinaciclib	-0.34973469329250956	-2.0579303529735054	<1e-05	<1e-05	NEU
CPC016_SKB_24H:BRD-K07762753-001-02-8:10	DB07379	(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol	-0.3376496594238069	-2.0553189792598254	<1e-05	<1e-05	SKB
NMH002_NPC_24H:BRD-K49685476-001-11-8:10	DB02877	Arotinoid acid	-0.3691202776180891	-2.0539358828612384	<1e-05	<1e-05	NPC
CPC014_SKB_24H:BRD-A74904029-001-05-7:10	DB08473	Dichlororibofuranosylbenzimidazole	-0.36988146625394075	-2.05346517388965	<1e-05	<1e-05	SKB
LJP007_SKL.C_24H:E21	DB12021	Dinaciclib	-0.35707950437579833	-2.051534312371428	<1e-05	<1e-05	SKL.C
LJP007_SKL_24H:K19	DB01590	Everolimus	-0.34582594806456407	-2.0512334794308784	<1e-05	<1e-05	SKL
CPC016_NEU_24H:BRD-K29582677-300-06-4:10	DB04841	Flunarizine	-0.3753282438530675	-2.050783825950269	<1e-05	<1e-05	NEU
CPC016_NPC_24H:BRD-K47598052-001-06-7:10	DB01809	1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	-0.3412530717387274	-2.049982884632671	<1e-05	<1e-05	NPC
CPC014_SKB_24H:BRD-K38775274-001-13-0:10	DB01234	Dexamethasone	0.3356688466088577	2.049081030254399	<1e-05	<1e-05	SKB
LJP007_NEU_24H:I01	DB01268	Sunitinib	-0.3378444638990533	-2.0484547348581073	<1e-05	<1e-05	NEU
LJP008_SKL_24H:J05	DB12116	Epigallocatechin gallate	0.36151413459665505	2.0461961586902975	<1e-05	<1e-05	SKL
LJP008_NEU_24H:A21	DB11740	MK-1775	-0.3443977886695318	-2.044749352736818	<1e-05	<1e-05	NEU
CPC013_NEU_24H:BRD-K87909389-001-01-2:10	DB03496	Alvocidib	-0.3408615620622411	-2.043647346046373	<1e-05	<1e-05	NEU
LJP007_NEU_24H:M08	DB05575	Motesanib	0.3278281192863475	2.0435455957381863	<1e-05	<1e-05	NEU
CPC014_SKB_24H:BRD-K23192422-001-01-1:10	DB06469	Lestaurtinib	-0.3298653631910607	-2.042031394275744	<1e-05	<1e-05	SKB
LJP008_NEU_24H:O06	DB07101	PD-0325901	0.36204902775694103	2.0375819777126956	<1e-05	<1e-05	NEU
CPC016_NPC_24H:BRD-K36927236-001-15-1:10	DB01016	Glyburide	-0.3649090734538369	-2.0370593764595455	<1e-05	<1e-05	NPC
CPC014_NEU_24H:BRD-A20697603-001-06-4:10	DB11467	Thiostrepton	-0.3759849986438516	-2.0368806064839955	<1e-05	<1e-05	NEU
CPC018_SKB_24H:BRD-K06895174-001-01-0:10	DB00604	Cisapride	-0.3151528541633296	-2.034155487058218	<1e-05	<1e-05	SKB
NMH002_NPC_6H:BRD-K50590187-001-17-3:10	DB09120	Zucapsaicin	-0.35949156375577856	-2.0338657115464227	<1e-05	<1e-05	NPC
LJP008_NEU_24H:C08	DB13877	Iniparib	-0.34528258688753416	-2.0329237708589845	<1e-05	<1e-05	NEU
CPC013_NEU_24H:BRD-K31553034-001-01-4:10	DB06629	Zibotentan	-0.3863641582626234	-2.032858665317192	<1e-05	<1e-05	NEU
NMH002_NEU_6H:BRD-K41170226-001-10-4:10	DB03619	Deoxycholic acid	-0.35117070278905627	-2.032849542464337	<1e-05	<1e-05	NEU
CPC017_SKB_24H:BRD-K71860425-001-01-1:10	DB03307	4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide	-0.3513112042825988	-2.0290481532013063	<1e-05	<1e-05	SKB
CPC012_NEU_24H:BRD-A75409952:10	DB08059	Wortmannin	-0.37372348170492375	-2.0265136769602523	<1e-05	<1e-05	NEU
LJP008_NPC.CAS9_24H:K12	DB11962	GSK-1059615	-0.38531749663662057	-2.0248609140509193	<1e-05	<1e-05	NPC.CAS9
CPC017_SKB_24H:BRD-A62336480-001-02-5:10	DB14068	Dexniguldipine	-0.3864693468070756	-2.0230800604546753	<1e-05	<1e-05	SKB
CPC014_NEU_24H:BRD-K98372770-001-04-1:10	DB08078	{4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy}acetic acid	0.36002494606986507	2.0220095749437688	<1e-05	<1e-05	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.34249896321100853	2.021665491805261	<1e-05	<1e-05	NEU
LJP007_NEU_24H:E05	DB11743	Ipatasertib	-0.33016127507268594	-2.0192615007265817	<1e-05	<1e-05	NEU
CPC013_NPC_24H:BRD-K76908866-001-02-7:10	DB12302	CP-724714	0.4017338890348019	2.016256884299322	<1e-05	<1e-05	NPC
CPC015_NPC_24H:BRD-K76205745-001-04-1:10	DB00678	Losartan	-0.3666504442798294	-2.016193093939498	<1e-05	<1e-05	NPC
CPC014_NPC_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.3535629534746321	-2.0161174276867944	<1e-05	<1e-05	NPC
CPC016_NEU_24H:BRD-K47631482-003-03-9:10	DB09019	Bromhexine	-0.33921293679971953	-2.01556740278957	<1e-05	<1e-05	NEU
CPC015_NPC_24H:BRD-K10995081-001-15-4:10	DB00850	Perphenazine	-0.3341791274793763	-2.0152028014608274	<1e-05	<1e-05	NPC
LJP008_NPC_24H:O01	DB07101	PD-0325901	0.37984051001544683	2.0136878408668863	<1e-05	<1e-05	NPC
LJP009_NEU_24H:E12	DB01782	Pyrazolanthrone	-0.3613343681781131	-2.0122151827832386	<1e-05	<1e-05	NEU
CPC013_NEU_24H:BRD-K64881305-001-01-1:10	DB06188	Ispinesib	-0.3679044914402366	-2.009256462941361	<1e-05	<1e-05	NEU
NMH002_NEU_24H:BRD-K52313696-001-09-9:10	DB12291	Tacedinaline	-0.38718710830249353	-2.0028965736765256	<1e-05	<1e-05	NEU
LJP008_SKL.C_24H:I05	DB16239	Molibresib	0.35655485514016994	2.002894160037786	<1e-05	<1e-05	SKL.C
CPC014_NEU_24H:BRD-K01493881-001-19-5:10	DB07352	Apigenin	0.33529738413277627	2.0028189801631333	<1e-05	<1e-05	NEU
CPC016_NEU_24H:BRD-M00539986-051-01-1:10	DB01274	Arformoterol	0.37877736979529136	2.002554091031694	<1e-05	<1e-05	NEU
CPC014_SKB_24H:BRD-K74733595-001-02-9:10	DB07350	(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide	-0.3375801856300566	-1.9998076467190051	<1e-05	<1e-05	SKB
NMH002_NEU_6H:BRD-K60623809-001-04-6:10	DB08009	SU-11652	-0.33672740239332893	-1.9988423545418514	<1e-05	<1e-05	NEU
CPC015_NPC_24H:BRD-K69608737-001-03-7:10	DB00864	Tacrolimus	-0.36007480893331456	-1.9984916438034395	<1e-05	<1e-05	NPC
NMH002_NPC_6H:BRD-A50287119-001-01-5:10	DB00877	Sirolimus	-0.33029200477828374	-1.9972261630566297	<1e-05	<1e-05	NPC
CPC018_SKB_24H:BRD-K50388907-001-15-5:10	DB01039	Fenofibrate	0.32280956762189533	1.9957911494073737	<1e-05	<1e-05	SKB
LJP009_SKL.C_24H:D14	DB16108	TAK-715	-0.31785388096786577	-1.9949876898701606	<1e-05	<1e-05	SKL.C
CPC015_NPC_24H:BRD-K82255054-001-08-4:10	DB00818	Propofol	0.40268646281136716	1.9945643388293066	<1e-05	<1e-05	NPC
CPC018_SKB_24H:BRD-K10207760-236-03-0:10	DB11423	Lasalocid	-0.38163336721461766	-1.9935976392159906	<1e-05	<1e-05	SKB
CPC015_NPC_24H:BRD-K38323065-001-09-0:10	DB03783	Phenacetin	0.3609346921536145	1.9933688779921828	<1e-05	<1e-05	NPC
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.3538681903576102	-1.9923775205305227	<1e-05	<1e-05	NEU
NMH002_NPC_24H:BRD-K52313696-001-09-9:10	DB12291	Tacedinaline	-0.3498918099509494	-1.9912919701039995	<1e-05	<1e-05	NPC
LJP008_NEU_24H:D21	DB13978	Selisistat	-0.34665327377062694	-1.9884115005404943	<1e-05	<1e-05	NEU
CPC017_NPC_24H:BRD-K71499074-001-03-8:10	DB01144	Diclofenamide	-0.32469915417469275	-1.9878701497401612	<1e-05	<1e-05	NPC
CPC016_SKB_24H:BRD-K90553655-001-03-6:10	DB01420	Testosterone propionate	0.3089231595018203	1.98751963755311	<1e-05	<1e-05	SKB
LJP007_SKL_24H:D20	DB06616	Bosutinib	-0.3518212567969783	-1.987166774888397	<1e-05	<1e-05	SKL
NMH002_NEU_24H:BRD-K01638814-050-01-2:10	DB11738	Rilmenidine	-0.3626481221159064	-1.9842918553249629	<1e-05	<1e-05	NEU
NMH002_NPC_6H:BRD-K05396879-001-06-7:10	DB08435	(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid	0.40024664623143086	1.9817629088623903	<1e-05	<1e-05	NPC
CPC015_NPC_24H:BRD-K82941592-238-02-9:10	DB01098	Rosuvastatin	-0.390291964497978	-1.9813500867190779	<1e-05	<1e-05	NPC
LJP008_NEU_24H:I08	DB11830	Mocetinostat	-0.3678456888959403	-1.9810218637319754	<1e-05	<1e-05	NEU
CPC015_NPC_24H:BRD-K92428153-001-01-0:10	DB00688	Mycophenolate mofetil	0.3566094581978269	1.9776608935210334	<1e-05	<1e-05	NPC
LJP007_NEU_24H:E11	DB05913	OSI-930	-0.3375401714258713	-1.9762385655448744	<1e-05	<1e-05	NEU
CPC013_SKB_24H:BRD-K46056750-001-01-3:10	DB12242	AZD-7762	-0.33256757600589204	-1.973705243680304	<1e-05	<1e-05	SKB
CPC017_NPC_24H:BRD-K95785537-001-09-0:10	DB03023	1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	-0.3358639522680585	-1.9724336663037922	<1e-05	<1e-05	NPC
CPC014_SKB_24H:BRD-K52751261-001-01-2:10	DB16108	TAK-715	-0.30594688335840187	-1.9701971701686174	<1e-05	<1e-05	SKB
CPC018_SKB_24H:BRD-A09495397-001-02-7:10	DB11562	Bicuculline	0.35466254336965036	1.9696629304497262	<1e-05	<1e-05	SKB
CPC013_SKB_24H:BRD-K62982419-001-01-2:10	DB03849	Cilomilast	0.3620451465415758	1.96905065784005	<1e-05	<1e-05	SKB
LJP007_SKL_24H:M24	DB12874	Quizartinib	-0.3267362280064087	-1.9676002820051628	<1e-05	<1e-05	SKL
NMH002_NPC_6H:BRD-K30466858-335-01-5:10	DB08846	Ellagic acid	-0.34571448776451635	-1.9665788575967413	<1e-05	<1e-05	NPC
LJP007_SKL_24H:G13	DB01254	Dasatinib	-0.3564752574393698	-1.9662142207834317	<1e-05	<1e-05	SKL
CPC018_NPC_24H:BRD-A91452556-001-03-2:10	DB13954	Estradiol cypionate	0.3762923966488962	1.9658555965546642	<1e-05	<1e-05	NPC
NMH001_NPC_6H:BRD-A75409952-001-04-0:10	DB08059	Wortmannin	-0.3686348427722256	-1.965710668731777	<1e-05	<1e-05	NPC
LJP009_NEU_24H:E19	DB08901	Ponatinib	-0.33406983929542994	-1.965587175003722	<1e-05	<1e-05	NEU
LJP008_NPC_24H:L21	DB05015	Belinostat	0.39057291793605053	1.964472477792755	<1e-05	<1e-05	NPC
NMH002_NPC_6H:BRD-K39965020-001-05-9:10	DB03756	Doconexent	-0.33608172203853715	-1.9644619655567006	<1e-05	<1e-05	NPC
CPC015_SKB_24H:BRD-K21450440-001-08-8:10	DB00562	Benzthiazide	-0.3094806886160231	-1.963696961756833	<1e-05	<1e-05	SKB
LJP009_SKL_24H:O21	DB07232	Veliparib	-0.41142280750171095	-1.9636398036550873	<1e-05	<1e-05	SKL
LJP009_SKL_24H:L11	DB05984	RAF-265	-0.3744012138167739	-1.9627241303803158	<1e-05	<1e-05	SKL
DOSBIO002_NEU_24H:BRD-K27305650:3.33333	DB02656	LY-294002	-0.32929215707003623	-1.9626018614688308	<1e-05	<1e-05	NEU
LJP007_NEU_24H:P05	DB09054	Idelalisib	0.3409818781534001	1.9625411176533099	<1e-05	<1e-05	NEU
DOSBIO001_NEU_24H:BRD-A90490067:10	DB00947	Fulvestrant	-0.3760362420654231	-1.9618959791495563	<1e-05	<1e-05	NEU
NMH001_NEU_24H:BRD-A75409952-001-04-0:10	DB08059	Wortmannin	-0.3345102339869291	-1.960997767783719	<1e-05	<1e-05	NEU
LJP007_NPC.CAS9_24H:E07	DB05913	OSI-930	-0.39080868599428864	-1.9602397541054422	<1e-05	<1e-05	NPC.CAS9
