GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1900034	regulation of cellular response to heat	8	0.017857142857142856	23.433333333333334	3.786069000234854e-10	2.4661257866792925e-07	6.607984775644786	4.685638994690656e-06	DNAJB1, DNAJC7, MTOR, EP300, ATM, CREBBP, ATR, SIRT1
GO:0060285	cilium-dependent cell motility	8	0.017857142857142856	21.96875	7.421844090167995e-10	4.373940117139005e-07	6.3591271671086504	9.18527424599191e-06	DNAH6, DNAH8, DNAH1, DNAH2, DNAH7, DNAH3, DNAH17, DNAH14
GO:0010498	proteasomal protein catabolic process	17	0.03794642857142857	21.968749999999996	1.4287288876911824e-19	3.536389742813215e-16	15.451439877758055	1.7681948714066074e-15	PSMA7, PSMB5, PSMB4, PRKN, PSMA1, PSMA6, PSMA4, VCP, PSMB2, PSMB7, PSMA2, PSMB3, PSMA5, PSMA8, PSMB6, PSMB1, PSMA3
GO:0009060	aerobic respiration	13	0.029017857142857144	20.39955357142857	1.0157655473759465e-14	1.5713893017905893e-11	10.803716207910693	1.2571114414324714e-10	NDUFS7, ATP5F1D, NDUFS8, UQCRH, UQCRC2, MT-ND1, SDHB, UQCRB, MT-CO1, MT-ND4, UQCRC1, SDHC, MT-CO3
GO:0048268	clathrin coat assembly	8	0.017857142857142856	19.52777777777778	2.4242813568164338e-09	1.1539579258446225e-06	5.9378100255881066	3.0002906071960186e-05	AP2S1, CLTB, AP2B1, CLTA, NSG1, HIP1R, HIP1, CLTC
GO:1901800	positive regulation of proteasomal protein catabolic process	8	0.017857142857142856	18.5	4.104336164978939e-09	1.814116584920691e-06	5.741334806272205	5.079526437777935e-05	PRKN, PSMC2, PSMC5, PSMC3, PSMC6, FMR1, PSMC1, PSMC4
GO:0007215	glutamate receptor signaling pathway	7	0.015625	18.09191176470588	4.8209055407483675e-08	1.9246299023323157e-05	4.715652771001096	0.000596635269723018	PLCB1, GRIA4, GNAQ, GRIN2B, FMR1, GRIK2, GRIA3
GO:0022904	respiratory electron transport chain	7	0.015625	16.1875	1.2006843669994584e-07	4.153072513024801e-05	4.381630486002665	0.0014859669725985297	SDHB, MT-CO1, SOD2, SDHA, UQCRFS1, PPARGC1A, NDUFA5
GO:0030705	cytoskeleton-dependent intracellular transport	7	0.015625	16.1875	1.2006843669994584e-07	4.153072513024801e-05	4.381630486002665	0.0014859669725985297	KIF5A, TUBB, TUBA1B, KIF5B, TUBA1C, TUBA1A, KIF5C
GO:0072583	clathrin-dependent endocytosis	9	0.020089285714285716	15.8175	2.2368336833764713e-09	1.1073221466186882e-06	5.955726014039249	2.7683053665467207e-05	AP2S1, CLTB, AP2A1, AP2B1, CLTA, AP2M1, AP2A2, HIP1, CLTC
GO:0090201	negative regulation of release of cytochrome c from mitochondria	7	0.015625	15.378125	1.8111033885934287e-07	6.057896091143858e-05	4.21767818023226	0.0022414215537232274	GPX1, PRKN, PPIF, AVP, IGF1, AKT1, FXN
GO:0000422	autophagy of mitochondrion	12	0.026785714285714284	14.25	1.8468790719592815e-11	1.523798359637871e-08	7.817072498278826	2.2856975394568067e-07	BECN1, ATG2A, ULK2, PRKN, RB1CC1, WIPI1, ULK1, ATG2B, MAP1LC3A, BNIP3, AMBRA1, WIPI2
GO:0007018	microtubule-based movement	25	0.05580357142857143	12.772529069767444	3.745303877708761e-21	1.1587970197630906e-17	16.935992630401405	4.6351880790523625e-17	DNAI1, KLC2, DNAH8, DNAH1, DNAH2, DNAH12, KLC3, DYNC1H1, KLC1, DNAH5, KIF5B, DNAL4, DNAH14, KIF5C, DNAH10, DNAH6, DNAI2, DNAH3, KLC4, DNAH11, KIF5A, ACTR10, DNAH7, DNAH9, DNAH17
GO:0051402	neuron apoptotic process	12	0.026785714285714284	12.261627906976743	1.351237129786574e-10	9.837006304846258e-08	7.007137050257911	1.672291071823864e-06	GPX1, DIABLO, AIFM1, CASP3, GAPDH, ATM, APAF1, GRIK2, TP53, BNIP3, ATN1, BAX
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	9	0.020089285714285716	11.982954545454547	3.592032817196965e-08	1.481833271520988e-05	4.829200658254007	0.0004445499814562964	AIFM1, BBC3, APAF1, TP53, TRAF2, MAP3K5, ERN1, BAX, ITPR1
GO:0006091	generation of precursor metabolites and energy	12	0.026785714285714284	11.218085106382977	4.2386781454432997e-10	2.622894036400314e-07	6.5812192543338535	5.245788072800628e-06	SLC25A4, COX7A1, COX6A2, UQCR11, AVP, COX6A1, COX8A, ATP5F1B, COX6C, COX4I1, COX4I2, COX7C
GO:0000045	autophagosome assembly	15	0.033482142857142856	10.984375	3.76293106469295e-12	3.3264310611885674e-09	8.478021472685581	4.6570034856639946e-08	BECN1, ATG14, ATG2A, ULK2, PIK3C3, BECN2, RB1CC1, ATG13, WIPI1, ULK1, ATG2B, MAP1LC3A, ATG101, AMBRA1, WIPI2
GO:1902600	proton transmembrane transport	25	0.05580357142857143	10.768995098039216	3.7176455397666133e-19	7.668263533358601e-16	15.115302970244059	4.60095812001516e-15	SLC25A4, COX6A2, UQCRH, COX5A, COX5B, SLC25A5, ATP5PO, UQCRFS1, COX7A1, COX7B, UCP1, MT-CYB, COX6A1, COX6B1, COX4I2, COX7B2, COX7A2L, MT-CO3, MT-CO2, UQCRC1, COX8A, ATP5F1B, CYC1, UQCR10, COX4I1
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	14	0.03125	7.988636363636364	1.8580702098034702e-09	9.998033441968587e-07	6.000085414929084	2.2995476916527746e-05	DIABLO, CASP8, PPARG, AIFM1, IFT57, BBC3, VCP, SNCA, CASP9, APAF1, CASP1, HIP1R, HIP1, BAX
GO:0000278	mitotic cell cycle	23	0.05133928571428571	7.655776515151515	2.857306485162414e-14	3.536202506037004e-11	10.451462872410051	3.5362025060370034e-10	DCTN3, TUBA3C, DYNC1H1, TUBA8, TUBB4A, TUBA3D, TUBAL3, TUBB, CLTCL1, TUBA1B, TUBA1A, CLTC, TUBB3, DCTN1, TUBB2A, TUBA1C, TUBA3E, TUBB4B, TUBB6, TUBB1, TUBB2B, TUBA4A, TUBB8
GO:0000226	microtubule cytoskeleton organization	21	0.046875	7.441028225806451	6.839355094982492e-13	7.053654887958611e-10	9.151585792743624	8.464385865550332e-09	ATXN7, ATXN3, TUBA3C, TUBA8, TUBB4A, TUBA3D, TUBAL3, TUBB, TUBA1B, TUBA1A, TUBB3, TUBB2A, TUBA1C, TUBA3E, TUBB4B, TUBB6, TUBB1, GAPDH, TUBB2B, TUBA4A, TUBB8
GO:0006979	response to oxidative stress	18	0.04017857142857143	7.2557339449541285	4.759425733225474e-11	3.6814158046499044e-08	7.433985127550197	5.890265287439846e-07	PSMB5, RCAN1, NDUFS8, GPX2, PRKN, GPX6, PRNP, MT-CO1, MT-ND3, NDUFB4, OGG1, MAPK8, NDUFA6, NDUFA12, TOR1A, AKT1, NDUFS2, SIRT1
GO:0006366	transcription by RNA polymerase II	18	0.04017857142857143	5.569542253521127	4.002636804537398e-09	1.814116584920691e-06	5.741334806272205	4.953663309295484e-05	POLR2F, TAF4, POLR2I, POLR2J3, POLR2D, POLR2K, POLR2G, POLR2E, POLR2J, TBP, POLR2J2, POLR2L, POLR2A, POLR2B, POLR2C, TBPL2, POLR2H, TBPL1
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	21	0.046875	5.492187499999999	2.6168562642075007e-10	1.7992340625462237e-07	6.744912335564957	3.238621312583203e-06	PSMD7, PSMD6, ATXN3, PSMA2, RNF216, PSMC4, PSMD2, USP14, VCP, PSMC5, PSMD14, SIRT1, PSMC2, PSMD1, PSMD4, PRKN, PSMC3, PSMC6, STUB1, PSMD8, PSMC1
GO:0043524	negative regulation of neuron apoptotic process	16	0.03571428571428571	5.246268656716418	6.907887029727766e-08	2.6716253087472135e-05	4.573224451044555	0.0008549200987991083	GDNF, PRKN, SOD1, EN1, WFS1, MSH2, SOD2, APOE, SNCA, GRIK2, CNTF, BDNF, PPARGC1A, ADORA2A, BAX, MECP2
GO:0006914	autophagy	16	0.03571428571428571	5.207407407407407	7.675370540260653e-08	2.878496539583813e-05	4.540834288300408	0.0009499038580626584	BECN1, ULK2, PIK3C3, BECN2, RB1CC1, HAP1, VCP, ULK1, WIPI1, C9orf72, TP53, VPS13A, NRBF2, AMBRA1, DRD3, CLTC
GO:0043065	positive regulation of apoptotic process	26	0.05803571428571429	4.008333333333334	2.125656592337482e-09	1.0961302494486949e-06	5.960137837041525	2.6307125986768677e-05	AIFM1, BMP2, HIP1R, HTT, CNR1, DIABLO, CASP8, SOD1, ATM, REST, TGM2, PNMA1, SIRT1, SNCA, APAF1, TP53, IP6K2, DNM1L, BAX, GAL, MAP3K10, CASP3, CASP9, MAPK8, MAP3K5, BNIP3
