	geneSymbol	geneId
152	GPX3	2878
153	PSMB4	5692
154	DCTN3	11258
155	DNAH6	1768
156	PDE6B	5158
157	MT-ND5	4540
158	CNTF	1270
159	PSMD1	5707
160	WIPI1	55062
161	POLR2E	5434
162	SDHD	6392
163	PSMA6	5687
164	EIF2AK2	5610
165	CPLX2	10814
166	VDAC3	7419
167	PSMD3	5709
168	NRF1	4899
169	COX7A2L	9167
170	GRIA2	2891
171	NDUFA7	4701
172	PSMA8	143471
173	NOP14	8602
174	XK	7504
175	CREB3	10488
176	SLC1A2	6506
177	IGF1	3479
178	DRD3	1814
179	NDUFA9	4704
180	COX7A1	1346
181	SYN2	6854
182	COX5A	9377
183	DAOA	267012
184	RCOR1	23186
185	GPX1	2876
186	ACTR1A	10121
187	DNAH10	196385
188	OGG1	4968
189	GRIN2B	2904
190	DNAH12	201625
191	KLC2	64837
192	KLC4	89953
193	CTH	1491
194	ATP5PB	515
195	CREB1	1385
196	JPH3	57338
197	WIPI2	26100
198	MAP3K10	4294
199	BAX	581
200	MFSD10	10227
201	HTR2A	3356
202	STUB1	10273
203	DRD5	1816
204	GRM5	2915
205	ADRA2C	152
206	KIF5C	3800
207	PSMB6	5694
208	ATP5F1C	509
209	PSMB2	5690
210	PSMB5	5693
211	TUBB4A	10382
212	PSMB1	5689
213	NDUFB10	4716
214	PSMC1	5700
215	GDNF	2668
216	MYH7	4625
217	NDUFS1	4719
218	NDUFAB1	4706
219	PSMA4	5685
220	PPIF	10105
221	SERPINA1	5265
222	BBC3	27113
223	PLCB3	5331
224	NDUFC2-KCTD14	100532726
225	POLR2H	5437
226	HSPB1	3315
227	TUBA3C	7278
228	MAPK10	5602
229	NEAT1	283131
230	ATP5MC3	518
231	MECP2	4204
232	TUBAL3	79861
233	COX7C	1350
234	MIR196A1	406972
235	NDUFA13	51079
236	VDAC1	7416
237	KLC1	3831
238	NDUFB9	4715
239	NDUFS2	4720
240	GAL	51083
241	ATP5MC2	517
242	CAV3	859
243	PSMD7	5713
244	PSMD11	5717
245	CREB3L2	64764
246	HAP1	9001
247	COX4I1	1327
248	HDAC2	3066
249	NDUFS6	4726
250	PLCB2	5330
251	KCNJ10	3766
252	DNAJC7	7266
253	SYNDIG1L	646658
254	MT-ND4L	4539
255	TUBB3	10381
256	SOD1	6647
257	TUBA3D	113457
258	TUBB2B	347733
259	POLR2J	5439
260	AKAP8L	26993
261	DNAH2	146754
262	COX6A1	1337
263	COX6C	1345
264	PSMA1	5682
265	ATG14	22863
266	COX7B2	170712
267	VDAC2	7417
268	MTOR	2475
269	UQCRC1	7384
270	GRK4	2868
271	NDUFA12	55967
272	PSMD14	10213
273	NDUFA10	4705
274	AP2A1	160
275	PSMD6	9861
276	NDUFA4	4697
277	FMR1	2332
278	CLTB	1212
279	GRIK2	2898
280	GRIA4	2893
281	ECM1	1893
282	HIP1	3092
283	NDUFS4	4724
284	DNAH3	55567
285	POLR2C	5432
286	HIP1R	9026
287	ADORA2A	135
288	SLC25A4	291
289	HTT	3064
290	GRIN1	2902
291	TUBA1C	84790
292	GRIA3	2892
293	AADAT	51166
294	APOL2	23780
295	DNAH14	127602
296	UQCR10	29796
297	TAF4	6874
298	ADRM1	11047
299	PSMB3	5691
300	VPS13A	23230
301	ITPR1	3708
302	VCP	7415
303	NDUFV1	4723
304	DNAL4	10126
305	RB1CC1	9821
306	SLC2A3	6515
307	TARBP2	6895
308	AP2M1	1173
309	PSMD9	5715
310	ATP5F1A	498
311	RCAN1	1827
312	DNM1L	10059
313	APOL4	80832
314	AVP	551
315	GPX7	2882
316	NDUFB6	4712
317	DCTN2	10540
318	ZDHHC17	23390
319	MYL5	4636
320	TRAF2	7186
321	RNF216	54476
322	PPARGC1A	10891
323	PNMA1	9240
324	NDUFA5	4698
325	DLG4	1742
326	NDUFA8	4702
327	PSMD4	5710
328	NDUFA6	4700
329	HFE	3077
330	TUBB	203068
331	COX8A	1351
332	COX8C	341947
333	TUBA4A	7277
334	TRIP10	9322
335	ATP5F1B	506
336	AMBRA1	55626
337	STX1A	6804
338	MAOA	4128
339	ATG2B	55102
340	FAN1	22909
341	PSMD12	5718
342	ATXN3	4287
343	SLBP	7884
344	NDUFB8	4714
345	GRIA1	2890
346	POLR2L	5441
347	ADD1	118
348	PSMA7	5688
349	HDAC1	3065
350	TBPL2	387332
351	GPX6	257202
352	PRPF40A	55660
353	PSMB7	5695
354	APOE	348
355	LRPAP1	4043
356	ATP5PD	10476
357	ATP5PO	539
358	CLTC	1213
359	NDUFC2	4718
360	SDHA	6389
361	RPH3A	22895
362	DNAH11	8701
363	DCTN1	1639
364	PIK3R4	30849
365	AP2B1	163
366	CACNA1B	774
367	SOD2	6648
368	AP2S1	1175
369	TUBB1	81027
370	FTL	2512
371	MT-ND2	4536
372	ADCY5	111
373	PSMD13	5719
374	GPRASP2	114928
375	MAP2K7	5609
376	COX7B	1349
377	IVL	3713
378	FAAH	2166
379	HYPK	25764
380	POLR2K	5440
381	SLC1A3	6507
382	NDUFC1	4717
383	IFT57	55081
384	SLC25A6	293
385	EZH1	2145
386	CHI3L1	1116
387	MT-CYB	4519
388	NSD2	7468
389	UQCRH	7388
390	PSMA2	5683
391	DIABLO	56616
392	ATXN7	6314
393	MAP1LC3A	84557
394	POLR2D	5433
395	IP6K2	51447
396	TBP	6908
397	TUBB4B	10383
398	DCTN4	51164
399	ATG13	9776
400	TUBB8	347688
401	NDUFB1	4707
402	GAP43	2596
403	PSMC3	5702
404	COX4I2	84701
405	PACSIN1	29993
406	KLC3	147700
407	MT-CO2	4513
408	FXN	2395
409	KALRN	8997
410	NSG1	27065
411	PPOX	5498
412	ATXN2	6311
413	GAPDH	2597
414	MT-ATP8	4509
415	NDUFB4	4710
416	ZNF395	55893
417	MT-ATP6	4508
418	TUBA8	51807
419	SLC2A4RG	56731
420	BMP2	650
421	TUBA1B	10376
422	MT-ND3	4537
423	CASP3	836
424	CREBBP	1387
425	NDUFA2	4695
426	BECN2	441925
427	ULK2	9706
428	NDUFV3	4731
429	POLR2B	5431
430	ACTR10	55860
431	PRNP	5621
432	IDUA	3425
433	POLR2J2	246721
434	FUS	2521
435	COX6B1	1340
436	ATR	545
437	CREB3L3	84699
438	SNCA	6622
439	NDUFS7	374291
440	AIFM1	9131
441	CASP9	842
442	PSMA5	5686
443	KIF5B	3799
444	CLTA	1211
445	CREB5	9586
446	NDUFA1	4694
447	DNALI1	7802
448	POLR2I	5438
449	MAPK9	5601
450	NDUFB11	54539
